Depth [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB] (equilibrium)
96.01,5676.174528,-0.055,3.174
96.1,5678.679245,0.029,3.217
96.23,5682.29717,-0.052,3.329
96.32,5684.801887,0.003,3.18
96.41,5687.306604,0.099,3.076
96.53,5690.646226,0.125,3.191
96.63,5693.429245,0.034,3.249
96.73,5696.212264,0.047,3.129
96.83,5698.995283,0.013,3.3
96.93,5701.778302,-0.12,3.146
97,5703.726415,-0.067,3.1
97.08,5705.95283,-0.112,3.362
97.2,5709.292453,0.007,3.353
97.32,5712.632075,0.466,3.387
97.4,5714.858491,0.276,3.017
97.5,5717.641509,0.373,3.026
97.6,5720.424528,0.24,2.958
97.7,5723.207547,0.109,3.14
97.82,5726.54717,0.219,3.126
97.9,5728.773585,0.043,3.115
97.97,5730.721698,0.203,3.132
98.09,5734.877966,0.016,3.22
98.2,5738.755932,-0.266,3.322
98.32,5742.986441,-0.736,3.665
98.4,5745.80678,-1.486,3.528
98.5,5749.332203,-0.543,3.509
98.58,5752.152542,-0.468,3.599
98.7,5756.383051,-0.393,3.198
98.82,5760.613559,-0.502,3.45
98.9,5763.433898,-0.165,3.248
99,5766.959322,-0.108,3.197
99.1,5770.484746,-0.077,3.261
99.2,5774.010169,-0.018,3.089
99.32,5778.240678,-0.04,3.162
99.4,5781.061017,-0.099,3.213
99.47,5783.528814,-0.167,3.2
99.6,5788.111864,-0.194,3.231
99.7,5791.637288,-0.384,3.292
99.82,5795.867797,-1.291,3.543
99.9,5798.688136,-0.666,3.735
100.38,5815.610169,-0.177,3.135
100.48,5819.135593,-0.321,2.938
100.61,5823.718644,-0.383,3.332
100.69,5826.538983,-0.332,2.987
100.78,5829.711864,-0.263,3.104
100.88,5833.237288,-0.191,3.04
100.96,5836.057627,-0.23,3.198
101.08,5840.288136,-0.26,3.046
101.18,5843.813559,0.057,3.251
101.28,5847.338983,-0.172,3.253
101.38,5850.864407,-0.307,3.042
101.48,5854.389831,-0.339,3.151
101.57,5857.562712,-0.338,3.339
101.68,5861.440678,-0.307,3.365
101.79,5865.318644,-0.368,3.116
101.88,5868.491525,-0.418,3.001
101.98,5872.016949,-0.376,3.03
102.11,5876.6,-0.649,3.088
102.19,5879.420339,-0.561,3.152
102.28,5882.59322,-1.069,3.254
102.38,5886.118644,-0.389,3.094
102.46,5888.938983,-0.461,3.227
102.58,5893.169492,-0.743,2.805
102.68,5896.694915,-0.485,3.04
102.78,5900.220339,-0.684,3.31
102.88,5903.745763,-0.57,3.478
103,5907.976271,-0.487,3.14
103.08,5910.79661,-0.376,3.234
103.18,5914.322034,-0.349,3.095
103.29,5918.2,-0.229,3.076
103.38,5921.372881,-0.26,2.991
103.51,5925.955932,-0.104,3.225
103.61,5929.481356,-0.249,3.386
103.69,5932.301695,-0.043,3.123
103.78,5935.474576,-0.262,3.182
103.88,5939,-0.208,3.077
103.98,5944.058824,-0.276,3.113
104.08,5949.117647,-0.469,3.3
104.18,5954.176471,-0.28,3.325
104.32,5961.258824,-0.116,3.204
104.44,5967.329412,-0.149,3.159
104.52,5971.376471,-0.062,3.138
104.62,5976.435294,0.177,3.305
104.7,5980.482353,-0.225,3.315
104.82,5984.661972,0.11,3.295
104.94,5988.211268,0.021,3.37
105.02,5990.577465,-0.159,3.158
105.12,5993.535211,-0.147,3.124
105.22,5996.492958,-0.367,3.105
105.32,5999.450704,-0.467,3.358
105.44,6003,-0.481,3.361
105.5,6004.774648,-0.354,3.227
105.59,6007.43662,-0.115,3.177
105.72,6011.28169,-0.22,3.2
105.82,6014.239437,-0.254,3.008
105.94,6017.788732,-0.537,3.085
106.02,6020.15493,-0.352,3.048
106.12,6023.112676,-0.243,3.257
106.22,6026.153846,0.015,3.166
106.33,6029.538462,-0.088,3.09
106.44,6032.923077,-0.367,3.221
106.52,6035.384615,-0.326,3.169
106.62,6038.461538,-0.417,3.277
