depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
11.015,1201.2,0.15,4.89
11.04,1203.1,0.3,4.86
11.065,1204.9,0.22,4.85
11.14,1210.5,0.1,4.88
11.165,1213,0.32,4.7
11.19,1215.5,0.45,4.65
11.215,1218.1,0.59,4.53
11.24,1220.6,0.88,4.12
11.265,1223.1,0.63,3.5
11.29,1225.7,0.54,3.93
11.315,1228.2,0.88,3.88
11.34,1230.7,0.58,3.8
11.365,1233.3,0.76,3.35
11.39,1235.8,0.46,3.57
11.415,1238.4,0.25,4.08
11.44,1240.9,0.93,3.73
11.465,1243.4,0.59,3.82
11.49,1246,0.09,4
11.515,1248.5,-0.07,4.41
11.54,1251,-0.13,4.9
11.565,1253.6,0.11,4.56
11.59,1256.1,0.28,4.61
11.615,1258.6,0.14,4.71
11.64,1261.2,0.17,4.58
11.665,1263.7,0.24,4.49
11.69,1266.2,0.6,4.09
11.715,1268.7,0.3,4.33
11.74,1271.3,0.81,4.06
11.765,1273.8,0.78,4.13
11.79,1276.3,0.5,3.27
11.815,1278.8,0.95,3.94
11.84,1281.4,0.9,4.12
11.865,1283.9,0.74,3.75
11.89,1286.4,0.74,4.03
11.915,1288.9,0.61,4.28
11.94,1291.5,0.41,4.35
11.965,1294,0.38,4.48
11.99,1296.5,0.39,4.03
12.015,1299.1,0.62,4.25
12.04,1301.6,0.57,4.22
12.065,1303.9,0.19,3.71
12.09,1306.2,0.79,3.87
12.115,1308.4,0.74,4.1
12.14,1310.7,0.79,4.12
12.165,1313,0.82,4.07
12.19,1315.3,0.81,4.01
12.215,1317.6,0.8,3.83
12.24,1319.9,0.56,4.33
12.265,1322.2,0.57,4.01
12.29,1324.5,0.77,4.2
12.315,1326.7,0.6,4.17
12.34,1329,0.68,4.14
12.365,1331.3,0.37,4.17
12.39,1333.6,0.53,4.43
12.415,1335.9,0.09,4.35
12.44,1338.2,0.35,4.47
12.465,1340.5,0.47,4.37
12.49,1342.7,1,3.79
12.515,1345,1,3.79
12.54,1347.3,0.97,4.01
12.565,1349.6,0.8,3.64
12.595,1352.4,0.82,3.86
12.615,1354.2,0.66,3.83
12.64,1356.5,0.69,3.81
12.665,1358.8,1.03,3.87
12.69,1361,0.87,3.82
12.715,1363.3,0.49,3.49
12.74,1365.6,0.61,4.25
12.765,1367.9,1.26,5.21
12.79,1369.6,0.7,4.3
12.815,1371.3,0.51,4.21
12.84,1372.9,0.63,4.51
12.865,1374.6,0.78,4.34
12.89,1376.3,0.65,4.17
12.915,1377.9,0.41,4.38
12.94,1379.6,0.23,4.59
12.965,1381.3,0.7,4.24
12.99,1383,0.75,3.96
13.015,1384.6,0.76,3.87
13.04,1386.3,0.95,4.08
13.065,1388,0.64,4.14
13.095,1390,0.98,3.93
13.115,1391.3,1,3.78
13.14,1393,0.78,4
13.165,1394.7,0.82,3.83
13.19,1396.3,1.07,3.96
13.215,1398.9,0.84,4.03
13.24,1401.4,0.98,3.91
13.265,1403.9,0.8,4.31
13.29,1406.5,0.41,4.41
13.315,1409,0.45,4.62
13.34,1411.5,0.61,4.52
13.365,1414.1,0.69,4.62
13.39,1416.6,0.54,4.51
13.415,1419.2,0.73,4.7
13.44,1421.7,0.6,4.44
13.515,1428.1,-0.19,3.63
13.54,1430.2,0.84,4.12
13.59,1434.5,0.96,3.68
13.64,1438.8,0.87,3.66
13.665,1440.9,0.57,3.73
13.69,1443,0.79,3.42
13.715,1445.2,0.89,3.59
13.765,1449.5,0.54,4.42
13.79,1451.6,0.35,3.94
13.815,1453.7,0.23,4.35
13.84,1455.9,0.47,4.31
13.865,1458,0.25,4.83
13.89,1459.9,0.15,4.63
13.915,1461.7,0.97,3.8
13.94,1464.2,0.78,4.36
13.965,1466.7,1.02,3.98
13.99,1469.2,1.05,4.17
14.015,1471.7,0.67,3.79
14.04,1474.1,1,3.87
14.065,1476.6,0.99,3.57
14.09,1479.1,0.8,4.39
14.115,1481.6,1.06,3.71
14.14,1484.1,1.2,3.92
14.165,1486.6,0.99,4.02
14.19,1489.1,0.97,3.79
14.215,1491.5,1.02,3.68
14.24,1494,0.86,4.01
14.265,1496.5,0.54,4.53
14.29,1499,0.63,4.68
14.315,1501.5,0.58,4.73
14.34,1503.5,0.81,4.59
14.365,1505.6,0.4,4.38
14.39,1507.6,0.27,4.66
14.415,1509.6,1.17,3.96
14.44,1511.7,0.93,4.52
14.465,1513.7,1.13,4.14
14.49,1515.7,1.02,4.05
14.54,1519.8,0.76,3.73
14.565,1521.9,0.89,4.08
14.615,1525.9,0.46,3.75
14.64,1528,0.73,4.46
14.665,1530,0.48,4.58
14.69,1531.9,0.55,4.9
14.715,1533.7,0.33,5.01
14.74,1535.6,0.48,4.88
14.765,1537.4,0.29,4.86
14.79,1539.3,0.15,4.76
14.815,1541.2,0.66,4.54
14.84,1543,0.65,4.7
14.865,1544.9,0.76,4.35
14.89,1546.7,0.44,4.5
14.915,1548.6,0.73,4.28
14.94,1550.4,0.55,4.59
14.965,1552.3,1.1,4.24
14.99,1554.2,0.9,3.9
15.015,1556,0.53,4.19
15.04,1557.9,0.71,4.32
15.065,1559.7,1.05,4.14
15.09,1561.4,0.23,4.55
15.115,1562.9,1.13,3.97
15.14,1564.4,0.88,4.13
15.165,1565.9,0.72,4.41
15.215,1568.9,0.31,3.75
15.24,1570.4,0.63,4.47
15.265,1571.9,0.66,4.48
15.29,1573.7,0.68,4.48
15.315,1575.8,0.62,4.27
15.34,1577.8,0.73,4.53
15.365,1579.9,0.69,4.15
15.39,1581.9,0.82,4.38
15.415,1584,0.85,4.02
15.44,1586.1,0.66,4.19
15.465,1588.1,0.83,3.98
15.49,1590.2,0.07,4.38
15.515,1592.2,0.91,4.11
15.54,1594.3,1.1,4.07
15.565,1596.3,1.21,4.12
15.59,1598.4,1.08,3.87
15.615,1600.4,1.27,3.77
15.64,1602.5,0.68,3.69
15.665,1604.4,1.19,3.95
15.69,1606.2,0.9,4.11
15.715,1608.1,1.13,4.13
15.74,1609.9,0.97,4.11
15.765,1611.8,0.95,4.28
15.79,1613.6,1.12,4.18
15.815,1615.5,1.06,4.26
15.84,1617.3,1.02,4.1
15.865,1619.2,1,4.18
15.89,1621,0.99,4.16
15.915,1622.9,1.05,4.12
15.94,1624.7,0.82,4.43
15.965,1626.6,0.95,4.28
15.99,1628.4,0.84,4.3
16.015,1630.3,1.15,4.02
16.04,1632.1,1.1,4.07
16.065,1634,1.06,4.1
16.095,1636.2,0.83,4.05
16.115,1637.7,0.99,4.23
16.14,1639.5,1.23,4.07
16.165,1641.4,0.97,4.23
16.19,1643.2,0.58,4.45
16.215,1645,0.89,4.59
16.24,1645.9,0.7,4.67
16.265,1646.8,0.63,4.73
16.29,1647.7,0.48,4.61
16.315,1648.6,0.92,4.63
16.365,1650.4,0.47,4.7
16.39,1651.3,0.79,4.66
16.415,1652.2,0.28,4.64
16.44,1654.7,0.66,4.66
16.465,1657.2,0.67,4.59
16.49,1659.7,0.98,4.54
16.515,1662.2,0.76,4.01
16.54,1664.7,0.98,4.09
16.565,1667.2,1.01,4.09
16.59,1669.7,0.79,4.11
16.615,1672.2,0.29,4.31
16.64,1674.7,0.99,3.93
16.665,1677.2,0.6,4.09
16.69,1679.7,0.71,4.26
16.715,1682.2,0.87,4.08
16.74,1684.7,0.81,4.01
16.765,1687.3,0.44,4.09
16.79,1689.8,0.73,4.17
16.815,1692.3,0.85,3.98
16.84,1694.8,0.59,4.03
