Depth ref [m],Age [ka BP],C. mundulus d13C [per mil PDB],C. mundulus d18O [per mil PDB]
217.05,18966.9,1.23,1.62
217.07,18969.7,1.28,1.64
217.09,18972.5,1.37,1.71
217.11,18975.3,1.32,1.53
217.13,18978.1,1.34,1.54
217.15,18980.9,1.46,1.52
217.17,18983.6,1.33,1.43
217.19,18986.4,1.35,1.66
217.21,18989.2,1.26,1.65
217.23,18992,1.41,1.85
217.25,18994.8,1.21,1.63
217.27,18997.6,1.35,1.63
217.29,19000.4,1.29,1.7
217.31,19003.2,1.37,1.54
217.33,19006,1.06,1.82
217.35,19008.7,1.4,1.66
217.37,19011.5,1.41,1.81
217.39,19014.3,1.16,1.88
217.41,19017.1,1.41,1.67
217.43,19019.9,1.21,1.92
217.45,19022.7,1.22,1.89
217.47,19025.5,1.17,1.95
217.49,19028.3,1.06,1.88
217.51,19031.1,1.05,1.83
217.53,19033.8,1.18,1.88
217.55,19036.6,1.44,1.59
217.57,19039.4,1.15,1.84
217.59,19042.2,1.14,1.8
217.61,19045,1.35,1.89
217.63,19047.7,1.25,1.88
217.65,19050.3,1.12,1.96
217.67,19053,1.18,1.85
217.69,19055.6,1.3,2.02
217.71,19058.3,1.22,1.81
217.73,19060.9,1.16,1.93
217.75,19063.6,1.28,1.78
217.77,19066.2,1.09,1.69
217.79,19068.9,1.24,1.79
217.81,19071.5,1.28,1.83
217.83,19074.2,1.27,1.98
217.85,19076.8,1.16,1.92
217.87,19079.5,1.2,1.91
217.89,19082.1,1.09,1.62
217.91,19084.8,1.33,1.72
217.93,19087.4,1.26,1.79
217.95,19090.1,1.18,1.79
217.97,19092.7,1.16,1.78
217.99,19095.4,1.28,1.6
218.01,19098,1.06,1.98
218.03,19100.7,1.13,1.99
218.05,19103.3,1.07,2.16
218.07,19106,1.23,1.72
218.09,19108.6,1.11,1.83
218.11,19111.3,1.26,1.63
218.13,19113.9,1.42,1.71
218.15,19116.6,1.29,1.62
218.17,19119.2,1.42,1.81
218.19,19121.9,1.3,1.68
218.21,19124.5,1.28,1.7
218.23,19127.2,1.28,1.68
218.25,19129.8,1.15,1.68
218.27,19132.5,1.16,1.68
218.29,19135.2,1.17,1.68
218.31,19137.8,1.12,1.7
218.33,19140.5,0.98,1.65
218.35,19143.1,1.22,1.86
218.37,19145.8,1,1.41
218.39,19148.4,1.08,1.78
218.41,19151.1,1.04,1.71
218.43,19153.7,0.87,1.45
218.45,19156.4,0.92,1.55
218.47,19159,1.08,1.79
218.49,19161.7,1.13,1.87
218.51,19164.3,1,1.79
218.53,19167,0.77,1.62
218.55,19169.6,1.11,1.87
218.57,19172.3,1.52,1.62
218.59,19174.9,1.29,1.82
218.61,19177.6,1.33,1.72
218.63,19180.2,1.2,1.56
218.65,19182.9,1.33,1.57
218.67,19185.5,1.38,1.61
218.69,19188.2,1.13,1.98
218.71,19190.8,1.08,1.82
218.73,19193.5,0.93,1.78
218.75,19196.1,0.91,1.71
218.77,19198.8,0.98,1.92
218.79,19201.4,0.94,1.82
218.81,19204.1,1.19,1.71
