Depth c top [mcd],Age [ka BP],Foram bent d13C [per mil PDB],Foram bent d18O [per mil PDB]
369.95,16607,1.367,1.035
370.05,16613,1.155,1.21
370.17,16620,1.361,1.491
370.26,16625,1.329,1.531
370.36,16631,1.293,1.553
370.44,16635,1.389,1.515
370.56,16642,1.37,1.454
370.66,16648,1.207,1.095
370.76,16654,0.954,1.027
370.86,16660,0.75,1.031
370.96,16665,0.986,1.347
371.04,16670,1.01,1.374
371.16,16677,0.994,1.297
371.26,16683,0.874,1.122
371.32,16686,0.914,1.541
371.42,16692,0.929,1.536
371.53,16698,0.906,1.459
371.62,16704,0.83,1.359
371.72,16709,0.798,1.178
371.82,16715,0.982,1.154
371.92,16721,1.022,1.285
372.02,16727,0.699,1.079
372.1,16731,0.607,1.025
372.2,16737,0.537,1.031
372.32,16744,0.511,1.203
372.42,16750,0.666,1.376
372.52,16755,0.813,1.431
372.62,16761,0.693,1.143
372.72,16767,0.776,1.047
372.81,16772,0.683,1.314
373.02,16784,0.687,1.123
373.13,16791,0.322,0.966
373.21,16795,0.795,1.485
373.29,16800,0.775,1.295
373.42,16807,0.619,0.744
373.51,16813,0.829,1.096
373.64,16821,0.887,1.358
373.73,16826,0.691,1.148
373.81,16831,0.638,1.259
373.91,16837,0.635,1.221
374.02,16844,0.721,1.258
374.12,16850,0.742,1.311
374.2,16855,0.381,0.898
374.32,16863,0.623,1.306
374.44,16870,0.785,1.248
374.52,16875,0.468,1.063
374.62,16881,0.653,1.021
374.72,16887,0.681,0.997
374.82,16894,0.579,0.867
374.92,16900,0.55,1.185
375.02,16905,0.795,1.192
375.12,16911,0.87,1.311
375.21,16916,0.87,1.324
375.34,16923,0.941,1.084
375.42,16928,1.003,1.513
375.52,16934,0.921,1.601
375.61,16939,0.973,1.523
375.69,16944,1.044,1.693
375.83,16952,0.788,1.526
375.92,16958,0.836,1.696
376.03,16964,0.843,1.948
376.13,16970,0.883,1.86
376.21,16975,0.796,1.721
376.3,16980,0.954,1.799
376.42,16988,0.85,1.627
376.54,16995,0.784,1.622
376.62,17000,0.665,1.608
376.72,17006,0.803,1.6
376.82,17012,0.82,1.611
376.92,17018,0.865,1.682
377.03,17024,0.958,1.627
377.12,17030,0.86,1.613
377.22,17036,0.86,1.537
377.34,17043,0.945,1.803
377.41,17047,0.88,1.521
377.53,17054,0.827,1.45
377.61,17059,0.854,1.684
377.72,17066,0.82,1.654
377.82,17072,0.922,1.862
377.92,17078,0.872,1.472
378.02,17084,0.905,1.446
378.12,17090,0.582,1.308
378.21,17095,0.589,0.843
378.31,17100,0.772,1.671
378.42,17105,0.684,1.371
