Depth [mbsf],NewAgeModel (Ma),_13C [per mil PDB],_18O [per mil PDB]
340.01,13.993,1.19,1.23
340.06,13.995,1.02,1.31
340.11,13.996,1.16,1.3
340.16,13.997,1.07,1.18
340.21,13.998,1.17,1.58
340.26,14,1.01,1.38
340.31,14.001,1.11,1.58
340.36,14.002,1.1,1.39
340.41,14.003,1.24,1.82
340.46,14.005,1.02,1.78
340.51,14.006,0.98,1.56
340.56,14.007,1.13,1.76
340.61,14.008,1.13,1.76
340.66,14.01,1.15,1.83
340.71,14.011,1.14,1.74
340.76,14.012,1.16,1.87
340.81,14.013,1.25,1.7
340.86,14.015,1.21,1.77
340.91,14.016,1.09,1.59
340.96,14.017,1.17,1.8
341.01,14.018,1.39,1.68
341.06,14.02,1.35,1.72
341.11,14.021,1.34,1.48
341.16,14.022,1.49,1.74
341.21,14.023,1.47,1.37
341.26,14.025,1.48,1.82
341.31,14.026,1.28,1.41
341.36,14.027,1.13,1.29
341.41,14.028,1.17,1.55
341.46,14.03,1.12,1.55
341.51,14.031,0.94,1.48
341.56,14.033,1.13,1.69
341.61,14.035,1.09,1.66
341.66,14.036,1.3,2.14
341.71,14.038,1.18,1.75
341.71,14.038,1.18,1.84
341.76,14.04,1.25,2.16
341.81,14.042,1.12,2.02
341.86,14.043,1.16,1.97
341.91,14.045,1.14,1.86
341.96,14.047,1.27,2.02
342.01,14.049,1.41,1.99
342.06,14.05,1.26,1.78
342.11,14.052,1.37,1.8
342.16,14.054,1.21,1.69
342.21,14.056,1.5,1.84
342.26,14.057,1.33,1.55
342.31,14.059,1.46,1.72
342.36,14.061,1.42,1.57
342.11,14.062,1.36,1.57
342.16,14.064,1.54,1.81
342.21,14.066,1.51,1.51
342.26,14.068,1.34,1.63
342.31,14.069,1.33,1.56
342.36,14.071,1.34,1.68
342.41,14.073,1.32,1.48
342.46,14.075,1.26,1.61
342.51,14.076,1.22,1.64
342.56,14.078,1.12,1.68
342.61,14.08,1.27,1.7
342.66,14.082,1.25,1.68
342.71,14.083,1.32,1.7
342.76,14.085,1.22,1.74
342.81,14.087,1.3,1.62
342.86,14.089,1.22,1.89
342.91,14.09,1.19,1.72
342.96,14.092,1.33,1.71
343.01,14.094,1.37,1.69
343.06,14.096,1.33,1.73
343.11,14.097,1.34,1.47
343.16,14.099,1.32,1.55
343.21,14.101,1.41,1.41
343.26,14.103,1.38,1.45
343.31,14.104,1.45,1.55
343.36,14.106,1.29,1.41
343.41,14.108,1.31,1.27
343.46,14.11,1.38,1.49
343.51,14.112,1.35,1.39
343.56,14.114,1.25,1.4
343.61,14.116,1.28,1.37
343.66,14.118,1.13,1.58
343.71,14.12,1.16,1.44
343.76,14.122,1.15,1.57
343.81,14.123,1.19,1.75
343.86,14.125,1.2,1.64
343.91,14.127,1.16,1.84
343.96,14.129,1.18,1.85
344.01,14.131,1.16,1.78
344.06,14.133,1.28,2.17
344.11,14.135,1.17,1.8
344.16,14.137,1.21,1.95
344.21,14.139,1.26,1.85
344.26,14.141,1.3,2.14
344.31,14.143,1.27,2.04
344.36,14.145,1.39,2.26
344.41,14.147,1.37,1.82
344.46,14.149,1.3,1.62
344.51,14.151,1.35,1.7
344.56,14.152,1.26,1.59
344.61,14.154,1.35,1.37
344.66,14.156,1.29,1.37
344.71,14.158,1.4,1.48
344.76,14.16,1.28,1.74
344.81,14.162,1.29,1.43
344.86,14.164,1.19,1.65
344.91,14.166,1.2,1.88
344.96,14.168,1.2,1.92
345.01,14.17,1.07,1.66
345.06,14.172,1.07,1.65
345.11,14.174,0.94,1.6
345.11,14.174,1.01,1.79
345.16,14.176,0.99,1.58
345.21,14.178,0.9,1.67
345.26,14.18,0.92,1.74
345.31,14.181,0.8,1.67
345.36,14.183,1.04,1.99
345.41,14.185,1.13,1.83
345.46,14.187,1.14,1.86
345.51,14.189,1.12,1.8
345.56,14.191,1.16,1.83
345.61,14.193,1.16,1.73
345.66,14.195,1.3,1.8
345.71,14.197,1.26,1.57
345.76,14.199,1.23,1.67
345.81,14.201,1.21,1.53
345.86,14.203,1.28,1.52
345.91,14.205,1.16,1.48
345.96,14.207,1.23,1.74
346.01,14.209,1.16,1.52
346.01,14.209,1.14,1.55
346.06,14.21,1.28,1.3
346.11,14.212,1.27,1.53
346.16,14.214,1.19,1.52
346.21,14.216,1.22,1.56
346.26,14.218,1.17,1.56
346.31,14.22,1.38,1.68
346.36,14.222,1.29,1.84
346.41,14.224,1.14,1.65
346.46,14.226,1.3,1.64
346.51,14.228,1.26,1.71
346.56,14.23,1.14,1.57
346.41,14.232,1.17,1.62
346.61,14.232,1.18,1.67
346.46,14.234,1.1,1.62
346.51,14.236,1.14,1.67
346.56,14.238,1.07,1.58
346.61,14.24,1.01,1.6
346.66,14.242,1.15,1.57
346.71,14.244,1.2,1.69
346.76,14.246,1.12,1.59
346.81,14.248,1.17,1.56
346.86,14.25,1.23,1.6
346.91,14.252,1.44,1.82
346.96,14.254,1.36,1.71
347.01,14.256,1.43,1.77
347.06,14.258,1.35,1.68
347.11,14.26,1.61,1.74
347.16,14.261,1.37,1.57
347.21,14.263,1.54,1.27
347.26,14.265,1.47,1.64
347.31,14.267,1.35,1.4
347.36,14.269,1.37,1.49
347.41,14.271,1.16,1.3
347.46,14.273,1.3,1.53
347.51,14.275,1.11,1.16
347.56,14.276,1.18,1.58
347.61,14.278,1.07,1.25
347.66,14.279,0.95,1.32
347.71,14.281,0.96,1.21
347.76,14.282,1.13,1.5
347.81,14.283,1.16,1.52
347.86,14.285,1.36,1.86
347.91,14.286,1.19,1.67
347.91,14.286,1.27,1.6
347.96,14.287,1.19,1.83
348.01,14.289,1.25,1.79
348.06,14.29,1.29,1.81
348.11,14.292,1.28,1.76
348.16,14.293,1.37,1.83
348.21,14.294,1.27,1.68
348.26,14.296,1.29,1.49
348.31,14.297,1.29,1.65
348.36,14.298,1.2,1.42
348.41,14.3,1.27,1.51
348.46,14.301,1.13,1.24
348.51,14.303,1.21,1.3
348.56,14.304,1.32,1.13
348.61,14.306,1.47,1.34
348.66,14.308,1.38,1.14
348.71,14.31,1.5,1.31
