age_calkaBP,d13Cc.wuell
3.3257,0.68
3.3274,0.72
3.3291,0.75
3.3308,0.55
3.3325,0.34
3.3341,0.68
3.3358,0.63
3.3375,0.46
3.3392,0.68
3.3409,0.45
3.3426,0.5
3.3443,0.58
3.346,0.67
3.3477,0.65
3.3494,0.63
3.3511,0.58
3.3528,0.56
3.3545,0.63
3.3562,0.46
3.3579,0.2
3.3596,0.52
3.3613,0.5
3.363,0.56
3.3647,0.51
3.3664,0.49
3.3681,0.94
3.3698,0.54
3.3715,0.74
3.3732,0.76
3.3749,0.73
3.3766,0.44
3.3783,0.77
3.38,0.7
3.3823,0.48
3.3845,0.61
3.3868,0.51
3.389,0.72
3.3913,0.61
3.3935,0.64
3.3958,0.58
3.398,0.67
3.4003,0.75
3.4025,0.91
3.4048,0.63
3.407,0.48
3.4093,0.59
3.4115,0.91
3.4138,0.54
3.416,0.34
3.4183,0.25
3.4205,0.4
3.4228,0.52
3.425,0.47
3.4264,0.33
3.4279,0.02
3.4293,0.56
3.4308,0.63
3.4322,0.52
3.4337,0.68
3.4351,0.56
3.4389,0.76
3.4404,0.74
3.4418,0.68
3.4433,0.55
3.4447,0.68
3.4462,0.87
3.4476,0.31
3.4491,0.67
3.4505,0.51
3.452,0.77
3.4534,0.84
3.4549,0.72
3.4563,0.81
3.4578,0.69
3.4592,0.29
3.4607,0.27
3.4621,0.49
3.4636,0.92
3.465,0.57
3.4668,0.83
3.4687,0.72
3.4705,0.45
3.4724,0.83
3.4742,0.46
3.476,0.68
3.4779,0.73
3.4797,0.83
3.4816,0.88
3.4834,0.91
3.4852,0.95
3.4871,0.77
3.4889,0.9
3.4908,0.62
3.4926,0.82
3.4944,0.38
3.4963,0.81
3.4992,0.9
3.5011,0.91
3.5029,0.64
3.5048,0.69
3.5066,0.87
3.5084,0.78
3.5103,0.73
3.5121,0.57
3.514,0.46
3.5158,0.55
3.5176,0.51
3.5195,0.7
3.5213,0.79
3.5232,0.8
3.525,0.98
3.53,0.78
3.535,0.68
3.54,0.66
3.545,0.88
3.55,0.9
3.555,0.83
3.56,0.52
3.5618,0.88
3.5635,0.89
3.5653,0.64
3.5671,0.67
3.5688,0.73
3.5724,0.45
3.5741,0.68
3.5759,0.53
3.5776,0.62
3.5794,0.65
3.5812,0.81
3.5829,0.66
3.5865,0.84
3.5882,0.62
3.59,0.94
3.5909,0.57
3.5918,0.7
3.5927,0.65
3.5936,0.92
3.5945,1
3.5955,0.96
3.5964,0.86
3.5973,0.8
3.5982,0.72
3.5991,0.34
3.6,0.72
3.6009,0.77
3.6018,0.66
3.6027,0.92
3.6036,0.95
3.6045,0.68
3.6055,0.77
3.6064,0.3
3.6073,0.68
3.6091,0.8
3.61,0.67
3.6109,0.73
3.6118,0.78
3.6127,0.97
3.6136,1
3.6145,0.69
3.6155,0.95
3.6164,0.67
3.6173,0.46
3.6182,0.51
3.6191,0.64
3.62,0.35
3.6209,0.92
3.6218,0.35
3.6227,0.78
3.6236,0.7
3.6245,0.75
3.6255,0.86
3.6264,0.8
3.6273,1.06
3.6291,0.61
3.63,0.71
3.6308,1.02
3.6316,1.06
3.6324,1.09
3.6332,0.82
3.634,0.93
3.6348,1.09
3.6364,1.03
3.6372,0.79
3.638,1.03
3.6388,0.92
3.6395,0.87
3.6403,0.67
3.6411,0.61
3.6419,1.13
3.6427,0.98
3.6435,0.88
3.6443,0.94
3.6451,0.77
3.6459,-0.1
3.6467,0.73
3.6475,0.81
3.6483,0.97
3.6491,0.62
3.6507,0.47
3.6515,0.96
3.6523,0.73
3.6531,0.6
3.6539,0.85
3.6547,0.73
3.6555,0.55
3.6563,0.82
3.657,0.82
3.6578,0.64
3.6586,0.76
3.6602,0.46
3.661,0.85
3.6618,0.71
3.6626,0.81
3.6634,0.58
3.6642,0.58
3.665,0.71
3.6688,0.94
3.6727,0.61
3.6765,0.4
3.6804,0.94
3.6842,0.74
3.6881,0.91
3.6919,0.85
3.6958,0.61
3.6996,0.61
3.7035,0.85
3.7073,0.8
3.7112,0.72
3.715,0.72
3.7186,0.88
3.7223,0.93
3.7259,0.86
3.7295,0.92
3.7332,0.83
3.7368,0.88
3.7405,0.75
3.7441,0.86
3.7477,0.86
3.7514,0.85
3.755,0.9
3.7586,0.69
3.7623,0.88
3.7659,0.82
3.7695,0.73
3.7732,0.48
3.7768,0.79
3.7805,0.79
3.7841,0.77
3.7877,0.81
3.7914,0.54
3.795,0.83
3.8,0.73
3.805,0.85
3.81,0.79
3.815,0.76
3.819,0.82
3.825,0.72
3.83,0.78
3.8374,0.61
3.8521,0.76
3.8595,0.61
3.8668,0.76
3.8717,0.62
3.8748,0.71
3.8778,0.64
3.8809,0.61
3.8839,0.67
3.887,0.82
3.89,0.54
3.8939,0.59
3.8979,0.62
3.9018,0.81
3.9057,0.82
3.9096,0.8
3.9136,0.69
3.9175,0.66
3.9214,0.75
3.9254,0.76
3.9293,0.88
3.9332,0.74
3.9371,0.6
3.9411,0.98
3.945,0.74
3.9495,0.56
3.9541,0.82
3.9586,0.37
3.9632,0.75
3.9677,0.77
3.9723,0.62
3.9768,0.66
3.9814,0.68
3.9859,0.34
3.9905,0.53
3.995,0.57
3.9983,0.41
4.0017,0.53
4.005,0.62
4.0083,0.7
4.0117,0.92
4.015,0.96
4.0183,0.75
4.0217,0.89
4.025,0.84
4.0333,0.61
4.0417,0.8
4.05,0.89
4.0523,0.86
4.0545,0.59
4.0568,0.81
4.059,0.87
4.0613,0.75
4.0725,0.73
4.0748,0.79
4.077,0.69
4.0793,0.8
4.0815,0.68
4.0838,0.83
4.086,0.65
4.0883,0.61
4.0905,0.59
4.0928,0.57
4.095,0.52
4.0963,0.71
4.0977,0.68
4.1004,0.61
4.1017,0.69
4.1031,0.71
4.1044,0.41
4.1058,0.61
4.1071,0.68
4.1085,0.64
4.1098,0.59
4.1112,0.67
4.1125,0.72
4.1138,0.61
4.1152,0.89
4.1165,0.66
4.1179,0.74
4.1192,0.84
4.1206,0.74
4.1219,0.71
4.1233,0.83
4.1246,0.9
4.126,0.74
4.1273,0.81
4.1287,0.62
4.13,0.93
4.1357,0.86
4.138,0.73
4.1436,0.81
4.1493,0.77
4.155,0.57
4.1573,0.72
4.1595,0.7
4.1618,0.88
4.164,0.81
4.1663,0.85
4.1685,0.66
4.173,0.82
4.1753,0.56
4.1775,0.62
4.1798,0.62
4.182,0.84
4.1843,0.65
4.1865,0.49
4.1888,0.52
4.191,0.73
4.1933,0.43
4.1955,0.73
4.1978,0.67
4.2,0.63
4.2017,0.63
4.2034,0.58
4.2052,0.51
4.2069,0.64
4.2086,0.8
4.2103,0.62
4.212,0.79
4.2138,0.88
4.2155,0.83
4.2172,0.73
4.2189,0.68
4.2206,0.78
4.2223,0.85
4.2241,0.93
4.2258,0.58
4.2275,0.74
4.2292,0.78
4.2309,0.86
4.2327,0.91
4.2344,0.75
4.2358,0.87
4.2378,0.79
4.2395,0.83
4.243,0.33
4.2447,0.74
4.2464,0.6
4.2481,0.81
4.2498,0.71
4.2516,0.76
4.2533,0.74
4.255,0.47
4.2559,0.72
4.2568,0.62
4.2577,0.79
4.2614,0.68
4.2623,0.73
4.2632,0.73
4.2641,0.27
4.265,0.82
4.2659,0.8
4.2668,0.78
4.2732,0.92
4.2741,0.02
4.275,0.75
4.2759,0.74
4.2768,0.75
4.2777,0.62
4.2786,0.71
4.2795,0.68
4.2805,0.85
4.2814,0.67
4.2823,0.69
4.2832,0.53
4.2841,0.72
4.285,0.74
4.2859,0.66
4.2868,0.77
4.2877,0.68
4.2886,0.61
4.2895,0.84
4.2905,0.32
4.2914,0.73
4.2923,0.81
4.2932,0.76
4.2941,0.91
4.295,0.83
4.2958,0.56
4.2966,0.73
4.2974,0.78
4.2982,0.79
4.2988,0.66
4.2997,0.91
4.3005,0.75
4.3021,0.72
4.3029,0.77
4.3037,0.83
4.3045,0.85
4.3053,0.84
4.3068,0.77
4.3076,0.75
4.3084,0.67
4.3092,0.85
4.31,0.85
4.3108,0.35
4.3116,0.75
4.3124,0.77
4.3131,0.82
4.3139,0.69
4.3147,0.68
4.3155,0.63
4.3163,0.87
4.3171,0.82
4.3179,0.76
4.3187,0.49
4.3195,0.64
4.321,0.75
4.3218,0.77
4.3226,0.84
4.3234,0.61
4.3242,0.78
4.325,0.7
4.3258,0.49
4.3261,0.8
4.3269,0.57
4.3277,0.65
4.3284,0.71
4.3292,0.66
4.33,0.59
4.3308,0.19
4.3316,0.63
4.3324,0.55
4.3332,0.68
4.3338,0.49
4.3348,0.6
4.3355,0.52
4.3363,0.62
4.3371,0.63
4.3379,0.51
4.3387,0.55
4.3395,0.64
4.3403,0.59
4.3411,0.63
4.3419,0.65
4.3426,0.6
4.3434,0.76
4.345,0.7
4.3458,0.65
4.3466,0.66
4.3474,0.76
4.3482,0.52
4.349,0.67
