Age [Ma],_13C [per mil PDB]
21.883,1.25
21.892,0.93
21.896,0.97
21.901,1.06
21.913,1.67
21.918,0.99
21.922,0.83
21.93,0.79
21.934,0.8
21.938,1.54
21.941,0.95
21.945,1.13
21.949,0.84
21.953,1.36
21.956,1.27
21.96,0.9
21.963,0.72
21.968,1.26
21.971,1.02
21.975,0.75
21.979,0.95
21.987,1.04
21.99,1.5
21.994,1.21
22.002,0.47
22.006,0.43
22.011,1.36
22.023,0.86
22.028,0.97
22.033,1.43
22.044,0.58
22.058,1.38
22.093,0.46
22.109,0.61
22.122,0.47
22.127,1.3
22.132,0.53
22.14,0.81
22.144,1.31
22.149,1.04
22.152,1.12
22.208,1.1
22.215,1.34
22.223,1.95
22.226,1.28
22.242,1.63
22.244,1.78
22.249,1.51
22.253,1.41
22.257,1.67
22.259,1.29
22.264,1.36
22.268,1.14
22.271,1.51
22.275,1.4
22.279,1.59
22.282,1.35
22.286,1.48
22.29,1.29
22.294,1.52
22.298,1.04
22.301,1.3
22.305,1.04
22.309,0.75
22.313,1.35
22.316,1.57
22.319,1.36
22.324,1.11
22.328,0.92
22.334,1.06
22.34,1.63
22.346,1.2
22.352,1.45
22.359,0.99
22.365,1.11
22.371,1.21
22.376,1.3
22.38,1.38
22.385,1.31
22.389,1.42
22.392,1.07
22.396,1.11
22.404,1.07
22.408,1.45
22.412,1.13
22.417,1.18
22.42,1.25
22.426,1.18
22.428,1.34
22.431,1.28
22.434,1.3
22.437,1.26
22.44,1.41
22.445,1.16
22.448,1.42
22.451,1.18
22.454,1.49
22.457,1.42
22.459,1.32
22.462,1.46
22.465,1.18
22.468,1.55
22.471,1.36
22.473,0.98
22.476,1.24
22.482,1.3
22.485,1.3
22.488,1.07
22.49,1.23
22.493,0.88
22.497,1.24
22.501,1.25
22.505,1.04
22.509,1.35
22.513,1.32
22.516,1.04
22.52,1.53
22.524,1.64
22.528,1.65
22.532,1.14
22.535,1.43
22.538,1.05
22.541,1.19
22.543,1.38
22.546,0.99
22.549,1.26
22.552,1.05
22.555,1.22
22.557,1.05
22.56,1.13
22.562,1.44
22.565,1.46
22.567,1.38
22.57,1.47
22.572,1.46
22.575,1.46
22.577,1.41
22.58,1.28
22.582,1.21
22.585,1.14
22.587,1.02
22.589,1.07
22.592,1.01
22.594,1.18
22.597,1.22
22.599,1.31
22.602,1.32
22.605,1.4
22.607,1.29
22.61,1.35
22.613,1.14
22.615,1.09
22.617,1
22.623,1.12
22.626,1.28
22.628,1.36
22.63,1.4
22.634,1.25
22.636,1.02
22.639,0.92
22.641,1.22
22.643,1.19
22.647,1.17
22.649,1.27
22.653,1.21
22.656,1.2
22.66,1.18
22.663,1.4
22.667,1.17
22.67,1.21
22.674,1.19
22.677,1.01
22.681,0.92
22.684,1.61
