AgeD17MT,benthic d13C
6.54877,0.89
6.55124,0.78
6.55371,0.84
6.55618,0.91
6.55865,0.82
6.56112,0.76
6.56359,0.74
6.56606,0.89
6.56853,0.69
6.571,0.71
6.57347,0.59
6.57594,0.62
6.57841,0.49
6.57916,0.68
6.58089,0.38
6.58163,0.74
6.58336,0.66
6.5841,0.35
6.58583,0.73
6.58657,0.55
6.5883,0.7
6.58904,0.39
6.59151,0.7
6.59398,0.75
6.59645,0.86
6.59892,0.61
6.60386,0.82
6.60608,0.83
6.6088,0.7
6.61127,0.54
6.61374,0.77
6.61621,0.39
6.61868,0.61
6.62115,0.71
6.62363,0.51
6.6261,0.75
6.62857,0.81
6.63153,0.83
6.634,0.8
6.63647,0.71
6.63894,0.63
6.64141,0.38
6.64388,0.57
6.64635,0.52
6.64882,0.42
6.6513,0.39
6.65377,0.64
6.65624,0.57
6.66118,0.46
6.66365,0.49
6.66612,0.53
6.66859,0.67
6.67106,0.55
6.67353,0.7
6.676,0.61
6.6795,0.42
6.68218,0.45
6.68425,0.56
6.68631,0.28
6.68837,0.15
6.69043,0.36
6.69249,0.41
6.69455,0.46
6.69661,0.67
6.69867,0.64
6.70074,0.57
6.7028,0.47
6.70486,0.49
6.70692,0.66
6.70898,0.71
6.71104,0.82
6.7131,0.8
6.71723,0.7
6.71929,0.73
6.72135,0.74
6.72341,0.74
6.72547,0.62
6.72753,0.76
6.7296,0.83
6.73166,0.76
6.73372,0.91
6.73578,0.89
6.73784,0.93
6.7399,0.84
6.74176,0.79
6.74402,0.83
6.74609,0.78
6.74815,0.76
6.75021,0.69
6.75227,0.56
6.75433,0.48
6.75639,0.5
6.75845,0.6
6.76052,0.51
6.76258,0.48
6.76464,0.68
6.7667,0.58
6.76876,0.79
6.77082,0.77
6.77288,0.81
6.77494,0.81
6.77701,0.81
6.77907,0.85
6.78113,0.75
6.78319,0.81
6.78525,0.78
6.78937,0.86
6.7904,0.86
6.79247,0.79
6.79453,0.41
6.79659,1.04
6.79865,0.86
6.80071,0.68
6.80277,0.78
6.80483,0.81
6.8069,0.64
6.80896,0.85
6.81102,0.69
6.81308,0.75
6.81514,0.82
6.8172,0.83
6.81926,1.03
6.82339,0.74
6.82545,0.86
6.82751,0.89
6.82957,1.01
6.83163,1.11
6.83369,0.87
6.83782,0.66
6.84008,0.84
6.84194,0.8
6.844,0.74
6.85038,0.49
6.8525,0.72
6.85463,0.64
6.85676,0.79
6.85867,0.7
6.86122,0.64
6.86271,0.57
6.86335,0.54
6.86484,0.48
6.86547,0.59
6.86696,0.62
6.8676,0.28
6.8676,0.28
6.86909,0.55
6.87121,0.31
6.87334,0.95
6.87547,1.03
6.87759,1.03
6.87972,1.07
6.88185,0.95
6.88397,1.01
6.8861,0.98
6.88822,0.76
6.89035,0.9
6.89248,0.56
6.8946,0.79
6.89673,0.55
6.89885,0.74
6.90098,0.84
6.90311,0.91
6.90523,0.82
6.90736,0.77
6.90949,0.91
6.91161,0.74
6.91374,0.81
6.91586,0.99
6.91799,0.75
6.92012,0.99
6.92224,0.91
6.92437,0.85
6.92649,0.92
6.92862,0.77
6.93075,0.84
6.93287,0.91
6.935,0.8
6.93946,0.83
6.94159,0.71
6.94159,0.75
6.94372,0.88
6.94584,0.9
6.94797,0.96
6.95009,0.88
6.95222,0.92
6.95435,0.75
6.95647,0.84
6.9586,0.9
6.96073,0.72
6.96285,0.84
6.96498,0.67
6.9671,0.71
6.9671,0.76
6.96923,0.63
6.97136,0.57
6.97348,0.58
6.97561,0.82
6.97773,1.15
6.97986,0.8
6.98199,1.1
6.98411,1.09
6.98411,1.04
6.98624,1.12
6.98837,1.08
6.98922,0.78
6.99049,1.06
6.99134,1.2
6.99262,1.13
6.99347,1.19
6.99474,1.16
6.99559,1.01
6.99687,1.09
6.99772,1.09
6.99985,0.92
7.00197,1.12
7.0041,0.99
7.00835,0.95
7.01473,0.75
7.01686,0.63
7.02111,0.83
7.02323,0.33
7.02536,0.89
7.02749,0.98
7.02961,0.81
7.03174,0.99
7.03599,1.19
7.03812,0.96
7.04024,0.8
7.04237,0.96
7.0445,0.9
7.04662,0.9
7.04875,0.88
7.053,0.56
7.05506,0.6
7.05712,0.76
7.05918,0.71
7.0633,0.46
7.06536,1
7.06742,0.87
7.06948,0.74
7.07155,0.91
7.07361,1.06
7.07567,0.97
7.07773,1
7.07979,1.14
7.08185,1.11
7.08391,0.96
7.08597,0.91
7.087,1.18
7.08803,1.13
7.09009,1.03
7.09112,0.98
7.09215,0.97
7.09318,1.01
7.09421,1.26
7.09524,0.73
7.09627,1.05
7.0973,1.15
7.09833,1.16
7.09936,1.04
7.10039,1.15
7.10142,1.08
7.10245,1.25
7.10348,0.97
7.10452,1.28
7.10555,1.15
7.10658,1.2
7.10761,1.04
7.10967,1.2
7.1107,0.83
7.11173,1.14
7.11276,1.03
7.11379,1.16
7.11482,1.11
7.11585,1.08
7.11688,1.14
7.11791,1.06
7.12203,0.99
7.12306,0.94
7.12409,1.06
7.12512,1.09
7.12615,0.97
7.12718,0.87
7.12821,1
7.12924,1.05
7.13027,1
7.1313,0.99
7.13233,0.97
7.13336,0.93
7.13439,0.99
7.13542,0.86
7.13645,0.84
7.13748,0.81
7.13851,0.91
7.13955,0.8
7.14058,0.8
7.14161,1.01
7.14264,0.95
7.14367,1.16
7.1447,1.02
7.14573,1.08
7.14676,1.21
7.14882,1.01
7.15088,1.16
7.15294,1.01
7.155,1.23
7.15733,1.18
7.15966,1.28
7.16198,0.82
7.16431,1.13
7.16664,0.95
7.16897,1.02
7.1713,1.02
7.17363,0.99
7.17595,0.88
7.18061,0.93
7.18294,0.89
7.18527,0.96
7.18759,1.03
7.18992,0.81
7.19225,1.1
7.19458,1.21
7.19691,0.88
7.19714,1.17
7.19924,1.24
7.19947,1.2
7.20156,1.1
7.2018,0.99
7.20389,0.75
7.20412,1.29
7.20645,1.13
7.20878,1.31
7.21111,1.18
7.21111,1.29
7.21344,1.13
7.21577,1.23
7.21809,1.18
7.22042,1.17
7.22508,1.18
7.22787,0.97
7.22973,1.09
7.23206,1.08
7.23439,1.06
7.23439,1.19
7.23672,1.09
7.23905,1.09
7.24138,1.33
7.2437,1.21
7.24603,1.07
7.24836,1.01
7.25069,1.06
7.25302,1.15
7.25534,1.15
7.25767,1.06
7.26,1.17
7.26186,1.15
7.26186,1.08
7.26466,1.25
7.26699,1.19
7.26931,1.25
7.27164,1.39
7.27397,1.32
7.2763,1.32
7.27863,1.25
7.28096,1.12
7.28142,1.16
7.28328,1.17
7.28375,1.27
7.28561,1.29
7.28608,1.28
7.28794,1.31
7.28841,1.19
7.29027,1.32
7.29073,1.26
7.2926,1.27
7.29306,1.28
7.29492,1.24
7.29539,1.18
7.29679,1.23
