NewAgeModel (Ma),_13C [per mil PDB]
15.634,1.49
15.637,1.58
15.641,1.56
15.644,1.59
15.648,1.53
15.651,1.5
15.655,1.44
15.658,1.38
15.661,1.25
15.665,1.3
15.668,1.34
15.671,1.37
15.675,1.5
15.678,1.6
15.682,1.51
15.685,1.3
15.689,1.55
15.694,1.62
15.698,1.37
15.703,1.19
15.707,1.58
15.711,1.75
15.715,1.67
15.72,1.5
15.724,1.59
15.727,1.85
15.73,1.79
15.734,1.75
15.735,1.69
15.738,1.72
15.741,1.73
15.745,1.79
15.748,1.74
15.751,1.85
15.754,1.86
15.761,1.59
15.764,1.41
15.768,1.36
15.771,1.46
15.774,1.49
15.777,1.58
15.781,1.76
15.784,1.72
15.787,1.66
15.79,1.96
15.794,1.9
15.797,1.79
15.8,1.75
15.804,1.59
15.808,1.87
15.812,1.83
15.815,1.88
15.82,1.87
15.824,1.78
15.828,1.83
15.832,1.83
15.836,1.75
15.84,1.79
15.843,1.76
15.847,1.79
15.851,1.68
15.855,1.68
15.859,1.77
15.863,1.66
15.868,1.62
15.872,1.61
15.876,1.6
15.881,1.92
15.886,1.76
15.89,1.68
15.894,1.56
15.897,1.63
15.899,1.79
15.902,1.96
15.904,1.98
15.907,1.77
15.909,1.94
15.912,1.91
15.914,1.92
15.917,1.84
15.919,2
15.922,1.91
15.925,1.88
15.927,1.65
15.932,1.63
15.935,1.69
15.937,1.66
15.94,1.7
15.942,1.78
15.945,1.66
15.947,1.67
15.95,1.7
15.952,1.46
15.955,1.72
15.955,1.59
15.958,1.66
15.96,1.96
15.963,1.64
15.965,1.49
15.968,1.33
15.971,1.4
15.973,1.96
