Age (Ma) (automatic) (3),d13Cvpdb
25.900,1.101
25.907,0.985
25.914,0.823
25.916,0.615
25.919,0.734
25.923,0.600
25.924,0.640
25.925,0.736
25.933,0.938
25.941,0.628
25.945,0.898
25.953,0.737
25.954,0.977
25.955,0.791
25.959,0.740
25.966,1.013
25.969,1.070
25.974,0.792
25.975,0.713
25.978,1.077
25.983,1.141
25.986,0.877
25.991,0.669
25.997,0.619
26.002,0.890
26.003,0.859
26.009,0.558
26.014,0.550
26.016,1.019
26.018,0.618
26.019,0.595
26.019,0.998
26.021,1.069
26.026,0.860
26.028,0.426
26.029,0.587
26.030,0.775
26.031,0.762
26.032,0.309
26.034,0.463
26.036,0.307
26.037,0.832
26.038,0.765
26.039,0.738
26.040,0.603
26.042,0.384
26.043,0.507
26.046,0.811
26.049,0.671
26.052,0.763
26.056,0.667
26.058,0.504
26.059,0.721
26.063,0.761
26.063,0.516
26.069,0.525
26.069,0.733
26.069,0.660
26.072,0.705
26.072,0.549
26.076,0.409
26.077,0.241
26.077,0.512
26.079,0.490
26.079,0.673
26.084,0.533
26.084,0.567
26.088,0.614
26.088,0.519
26.090,0.710
26.090,0.455
26.092,0.528
26.095,0.570
26.099,0.473
26.100,0.269
26.101,0.280
26.102,0.468
26.104,0.396
26.105,0.118
26.107,-0.034
26.109,0.555
26.110,0.618
26.112,0.608
26.114,0.672
26.117,0.612
26.119,0.166
26.120,0.400
26.121,0.232
26.124,0.113
26.126,0.286
26.129,0.027
26.131,0.370
26.137,0.913
26.150,0.524
26.157,0.803
26.163,0.934
26.165,0.860
26.168,0.617
26.172,0.735
26.179,0.690
26.183,0.701
26.188,0.462
26.190,0.666
26.193,0.590
26.198,0.628
26.205,0.689
26.209,0.784
26.212,0.700
26.214,0.488
26.216,0.794
26.218,0.518
26.223,0.488
26.227,0.840
26.229,0.481
26.232,0.543
26.233,0.575
26.235,0.502
26.239,0.824
26.239,0.904
26.240,0.722
26.243,0.813
26.247,0.727
26.250,0.972
26.255,0.686
26.259,0.883
26.265,0.988
26.266,0.715
26.268,0.966
26.269,0.877
26.270,0.780
26.271,0.860
26.272,0.777
26.273,0.840
26.275,0.554
26.276,0.650
26.280,0.663
26.285,1.046
26.290,0.485
26.293,0.930
26.297,0.770
26.299,0.898
26.302,0.656
26.308,0.547
26.312,0.670
26.313,0.616
26.315,0.388
26.321,0.806
26.327,1.021
26.339,0.744
26.346,1.085
26.352,0.619
26.357,1.196
26.359,0.753
26.363,0.752
26.363,0.660
26.368,0.553
26.369,0.435
26.373,0.776
26.378,0.404
26.382,0.749
26.388,0.366
26.395,0.699
26.401,1.119
26.408,0.586
26.415,0.586
26.419,0.545
26.426,0.555
26.431,0.295
26.433,0.473
26.438,0.834
26.445,0.685
26.448,0.719
26.453,0.958
26.460,0.364
26.463,0.695
26.463,0.170
26.465,0.620
26.468,0.777
26.470,0.518
26.478,0.354
26.485,0.467
26.490,0.754
26.492,0.960
26.494,0.717
26.499,0.293
26.505,0.350
26.506,-0.003
26.509,0.436
26.516,0.655
26.520,0.273
26.520,0.452
26.524,0.875
26.526,0.351
26.526,0.499
26.527,0.923
26.529,0.718
26.531,0.560
26.532,0.820
26.532,0.729
26.532,1.143
26.534,0.650
26.535,0.801
26.535,0.630
26.542,0.922
26.542,0.868
26.542,0.550
26.545,0.571
26.550,0.908
26.551,0.481
26.551,0.758
26.556,0.460
26.559,0.609
26.563,0.800
26.566,0.630
26.566,0.550
26.572,0.378
26.575,0.305
