TuningAge(Ka),d13C
2.0815,-0.538
2.0824,-0.465
2.0833,-0.513
2.085,-0.511
2.0856,-0.426
2.0862,-0.185
2.0868,-0.093
2.0874,-0.387
2.088,-0.21
2.0886,-0.613
2.0892,-0.303
2.0916,-0.262
2.0957,-0.136
2.0998,-0.323
2.1024,-0.36
2.1051,-0.316
2.1077,-0.18
2.1104,-0.325
2.113,-0.28
2.1133,-0.321
2.1137,-0.372
2.114,-0.155
2.1188,-0.422
2.1237,-0.081
2.1285,0.116
2.1333,-0.093
2.1351,-0.003
2.137,-0.165
2.1388,-0.25
2.1406,-0.265
2.1464,-0.607
2.1521,-0.378
2.1579,-0.493
2.1606,-0.521
2.1634,-0.642
2.1661,-0.595
2.1689,-0.24
2.1716,-0.716
2.1728,-0.236
2.174,-0.59
2.1752,-0.452
2.1764,-0.413
2.1776,-0.307
2.1787,-0.396
2.1799,-0.223
2.1811,-0.187
2.1823,-0.067
2.1835,-0.032
2.1849,-0.164
2.1863,-0.149
2.1876,-0.191
2.189,-0.29
2.1911,-0.237
2.1933,-0.066
2.1954,-0.237
2.1975,-0.184
2.1996,-0.392
2.2018,-0.309
2.2048,-0.356
2.2058,-0.39
2.2067,-0.45
2.2077,-0.324
2.2086,-0.354
2.2096,-0.233
2.2105,-0.19
2.2115,-0.282
2.2124,-0.33
2.2188,-0.414
2.2251,-0.353
2.2366,-0.268
2.243,-0.164
2.2493,-0.173
2.2557,-0.036
2.2563,-0.234
2.2574,0.024
2.258,-0.103
2.2585,-0.088
2.2619,-0.301
2.2625,-0.433
2.263,-0.323
2.2636,-0.246
2.2641,-0.086
2.2647,-0.123
2.2738,0.091
2.2829,-0.271
2.292,-0.116
2.2955,0.019
2.2991,-0.161
2.3027,-0.219
2.3062,-0.32
2.3086,-0.386
2.3109,-0.227
2.3133,-0.521
2.3156,-0.202
2.318,-0.338
2.3205,-0.254
2.323,-0.424
2.3259,-0.15
2.3294,-0.404
2.3329,-0.093
2.3399,-0.034
2.3411,0.266
2.3419,0.052
2.3436,0.069
2.3448,-0.479
2.3491,-0.288
2.3534,0.101
2.3578,-0.249
2.3629,-0.307
2.3652,-0.344
2.3657,-0.321
2.3662,-0.198
2.3666,-0.168
2.3671,-0.051
2.3724,-0.078
2.374,0.159
2.3751,-0.104
2.3766,-0.104
2.3777,-0.044
2.3802,-0.071
2.3819,-0.072
2.3844,0.401
2.3861,-0.108
2.3903,-0.092
2.405,-0.242
2.409,-0.022
2.41,-0.038
2.4116,-0.266
2.4131,-0.304
2.4132,0.032
2.423,-0.092
2.4296,0.07
2.4303,-0.117
2.4314,-0.005
2.4325,0.035
2.4336,0.242
2.4352,-0.195
2.4352,0.095
2.4353,0.022
2.4353,0.132
2.4354,-0.73
2.4354,0.004
2.4363,-0.171
2.4376,-0.007
2.4385,-0.336
2.4407,-0.425
2.442,0.504
2.4432,-0.226
2.445,-0.376
2.4468,-0.346
2.4492,-0.335
2.451,0.394
2.4522,-0.196
2.4539,-0.066
2.455,-0.206
2.4567,-0.035
2.4578,-0.353
2.4595,0.084
2.4606,-0.297
2.4623,-0.038
2.4634,-0.243
2.4651,0.436
2.4681,-0.069
2.4693,-0.091
2.4712,-0.154
2.4724,-0.051
2.4742,-0.164
2.4754,0.002
2.4772,-0.1
2.4774,-0.104
2.4783,-0.312
2.4786,-0.071
2.4795,-0.337
2.4797,0.401
2.4806,-0.337
2.4817,-0.266
2.4828,-0.45
2.484,-0.315
2.4851,-0.451
2.4862,-0.556
2.4873,-0.418
2.4885,-0.261
2.4896,-0.342
2.4915,0.008
2.4954,-0.046
2.4974,-0.196
2.4993,-0.529
2.5032,-0.348
2.5051,-0.571
2.5071,-0.475
2.509,-0.697
2.5152,-0.585
2.5214,-0.816
2.5225,-0.33
2.5237,-0.614
2.5249,-0.51
2.526,-0.687
2.5272,-0.661
2.5283,-0.529
2.5289,-0.623
2.5296,-0.551
2.5302,-0.442
2.5309,-0.539
2.5315,-0.437
2.5322,-0.542
2.5328,-0.559
2.5335,-0.394
2.5341,-0.235
2.5354,0.141
2.5367,0.325
2.5395,-0.096
2.5444,-1.241
2.5493,-0.096
2.5509,-0.117
2.5526,-0.181
2.5542,-0.268
2.5552,-0.361
2.5568,-0.03
2.5584,-0.056
2.56,-0.377
2.5664,-0.39
2.5699,-0.445
2.5732,-0.093
2.5765,0.347
2.5831,-0.115
2.5864,-0.433
2.5901,-0.333
2.5938,-0.215
2.5956,-0.293
2.5975,-0.842
2.5991,-0.602
2.6008,-0.364
2.6024,-0.334
2.604,-0.274
2.6056,-0.084
2.6073,-0.036
2.6089,-0.218
2.6105,0.104
2.613,-0.069
2.6155,0.387
2.618,-0.114
2.6237,-0.734
2.6293,-0.14
2.635,-0.079
2.6358,0.053
2.6366,-0.014
2.6374,0.007
2.6382,-0.243
2.639,-0.228
2.6409,-0.304
2.6427,-0.303
2.6446,-0.391
2.6464,-0.204
2.6483,-0.233
2.651,-0.527
2.6538,-0.076
2.6565,0.158
2.6593,-0.17
2.662,0.234
2.6675,-0.048
2.6703,0.157
2.673,-0.131
2.6758,-0.273
2.684,-0.07
2.6857,-1.25
2.6874,-0.309
2.6891,-0.376
2.6909,-0.358
2.6926,-0.278
2.6943,-0.303
2.696,-0.288
2.6983,-0.325
2.7005,-0.172
2.7028,-0.277
2.705,-0.629
2.7073,-0.375
2.7101,-0.485
2.713,-0.519
2.7147,-0.358
2.7158,-0.527
2.7164,-0.252
2.7168,-0.598
2.7174,-0.342
2.7178,-0.565
2.7184,-0.148
2.7188,-0.274
2.7194,-0.204
2.7198,-0.274
2.7204,-0.02
2.7208,-0.29
2.7248,-0.174
2.7275,-0.395
2.7316,0.082
2.7342,-0.287
2.7383,0.124
2.741,-0.17
2.745,0.034
2.7549,-0.013
2.7596,0.005
2.7642,0.313
2.7689,0.009
2.7706,0.123
2.7724,0.21
2.7741,-0.164
2.7758,-0.139
2.7775,-0.088
2.7793,0.036
2.781,-0.156
2.786,0.163
2.791,0.123
2.796,0.307
2.7982,0.167
2.8003,0.271
2.8025,-0.031
2.8047,0.27
2.8068,0.275
2.809,0.298
2.8137,-0.112
2.8145,-0.284
2.8154,-0.385
2.8163,-0.105
2.8172,-0.3
2.8181,-0.249
2.819,-0.097
2.8199,0.178
2.8208,0.117
2.8217,0.108
2.8226,0.075
2.8258,0.163
2.8293,-0.249
2.8329,-0.153
2.8364,0.048
2.84,-0.353
2.8428,-0.129
2.8457,-0.317
2.8485,0.013
2.8514,0.051
2.8542,0.533
2.8601,0.083
2.866,-0.062
2.8719,-0.634
2.8787,0.2
2.8854,-0.163
2.8922,-0.39
2.9003,-0.301
2.9116,-0.45
2.92,-0.174
2.9252,-0.387
2.9303,-0.055
2.9355,-0.181
2.9396,-0.132
2.9427,-0.065
2.9457,-0.465
2.9488,-0.314
2.9519,-0.171
2.9549,-0.154
2.958,-0.246
2.961,-0.124
2.9641,-0.526
2.9671,-0.225
2.9702,-0.391
2.978,-0.268
2.982,-0.147
2.9822,-0.27
2.9906,-0.769
3.0006,-0.817
3.0123,-0.404
3.0239,-0.789
3.0266,-0.369
3.0294,-0.338
3.0323,-0.456
3.0351,-0.295
3.0377,-0.444
3.04,-0.454
3.0422,-1.052
3.0445,-0.447
3.0467,-0.385
3.049,-0.545
3.0512,-0.253
3.0535,-0.461
3.058,-0.183
3.0602,-0.466
3.0625,-0.572
3.0704,-0.195
3.0783,-0.054
3.0799,-0.18
3.0815,-0.204
3.0831,-0.223
3.0847,0.016
3.0863,0.414
3.0879,-0.239
3.0895,-0.135
3.0912,0.341
3.0928,0.354
3.0944,-0.255
3.096,-0.138
3.0976,-0.167
3.0992,-0.198
3.1008,-0.105
3.1024,0.23
3.1129,0.2
3.1235,0.171
3.134,-0.091
3.1354,-0.35
3.1368,-0.3
3.1391,-0.853
3.1405,-0.6
3.1419,-0.357
3.1433,-0.428
3.1447,-0.525
3.1489,0.101
3.1536,0.273
3.1583,0.337
3.163,0.198
3.1692,0.089
3.1754,0.34
3.1817,0.34
3.1879,0.303
3.1941,-0.395
3.2035,-0.053
3.2128,-0.088
3.2145,0.408
3.2162,0.302
3.2179,-0.144
3.2196,0.118
3.2213,0.618
3.223,0.186
3.2247,0.763
3.2264,0.656
3.2281,-0.087
3.2347,0.749
3.2413,0.281
3.2479,-0.38
3.2501,0.136
3.2523,-0.075
3.2546,-0.066
3.2568,0.08
3.2612,-0.123
3.2635,0.102
3.2657,-0.081
3.2748,0.473
3.2907,0.443
3.296,-0.437
3.2997,-0.2
3.307,-0.193
3.3107,0.423
3.318,-0.277
3.32,0.119
3.324,0.452
3.3311,-0.201
3.3334,-0.509
3.3378,-0.43
3.3401,-0.348
3.3423,-0.372
3.3445,-0.212
3.3468,-0.279
3.349,-0.41
3.3512,-0.56
3.3535,-0.203
3.3557,-0.281
3.3633,-0.213
3.367,-0.267
3.3746,-0.235
3.3777,0.27
3.3792,-1.366
3.3807,-0.364
3.3823,-0.252
3.3838,-0.237
3.3853,-0.244
3.3869,-0.275
3.3884,-0.228
3.39,-0.246
3.3933,-0.085
3.3949,-0.26
