Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
5716.56,0.93,2.25,0.93,2.89,"Hodell et al., 2001",C.wuellerstorfi
5718.37,1.07,2.27,1.07,2.91,"Hodell et al., 2001",C.wuellerstorfi
5720.17,1.09,2.37,1.09,3.01,"Hodell et al., 2001",C.wuellerstorfi
5721.98,0.97,2.37,0.97,3.01,"Hodell et al., 2001",C.wuellerstorfi
5723.78,1.13,2.36,1.13,3,"Hodell et al., 2001",C.wuellerstorfi
5725.59,1.07,2.32,1.07,2.96,"Hodell et al., 2001",C.wuellerstorfi
5727.39,0.97,2.18,0.97,2.82,"Hodell et al., 2001",C.wuellerstorfi
5729.2,1.06,2.18,1.06,2.82,"Hodell et al., 2001",C.wuellerstorfi
5731,0.94,2.1,0.94,2.74,"Hodell et al., 2001",C.wuellerstorfi
5732.94,0.91,2.08,0.91,2.72,"Hodell et al., 2001",C.wuellerstorfi
5734.89,0.9,1.81,0.9,2.45,"Hodell et al., 2001",C.wuellerstorfi
5736.83,1.01,2.15,1.01,2.79,"Hodell et al., 2001",C.wuellerstorfi
5737.22,0.73,2.11,0.73,2.75,"Hodell et al., 2001",C.wuellerstorfi
5739.16,0.83,2.19,0.83,2.83,"Hodell et al., 2001",C.wuellerstorfi
5741.11,0.8,2.21,0.8,2.85,"Hodell et al., 2001",C.wuellerstorfi
5743.05,0.83,2.36,0.83,3,"Hodell et al., 2001",C.wuellerstorfi
5744.99,0.8,2.46,0.8,3.1,"Hodell et al., 2001",C.wuellerstorfi
5746.94,0.47,2.52,0.47,3.16,"Hodell et al., 2001",C.wuellerstorfi
5748.88,0.73,2.59,0.73,3.23,"Hodell et al., 2001",C.wuellerstorfi
5750.82,0.67,2.55,0.67,3.19,"Hodell et al., 2001",C.wuellerstorfi
5752.77,0.66,2.6,0.66,3.24,"Hodell et al., 2001",C.wuellerstorfi
5754.71,0.66,2.52,0.66,3.16,"Hodell et al., 2001",C.wuellerstorfi
5756.65,0.58,2.57,0.58,3.21,"Hodell et al., 2001",C.wuellerstorfi
5758.6,0.54,2.63,0.54,3.27,"Hodell et al., 2001",C.wuellerstorfi
5760.54,0.58,2.66,0.58,3.3,"Hodell et al., 2001",C.wuellerstorfi
5762.49,0.65,2.69,0.65,3.33,"Hodell et al., 2001",C.wuellerstorfi
5764.43,0.91,2.57,0.91,3.21,"Hodell et al., 2001",C.wuellerstorfi
5766.37,0.83,2.54,0.83,3.18,"Hodell et al., 2001",C.wuellerstorfi
5768.32,0.86,2.38,0.86,3.02,"Hodell et al., 2001",C.wuellerstorfi
5770.26,0.89,2.29,0.89,2.93,"Hodell et al., 2001",C.wuellerstorfi
5774.15,1.02,2.1,1.02,2.74,"Hodell et al., 2001",C.wuellerstorfi
5776.09,1.02,2.11,1.02,2.75,"Hodell et al., 2001",C.wuellerstorfi
5778.03,0.92,2.15,0.92,2.79,"Hodell et al., 2001",C.wuellerstorfi
5779.98,0.89,2.17,0.89,2.81,"Hodell et al., 2001",C.wuellerstorfi
5781.92,0.95,2.12,0.95,2.76,"Hodell et al., 2001",C.wuellerstorfi
5783.86,0.71,1.98,0.71,2.62,"Hodell et al., 2001",C.wuellerstorfi
5785.81,0.87,2.08,0.87,2.72,"Hodell et al., 2001",C.wuellerstorfi
5787.75,0.7,2.03,0.7,2.67,"Hodell et al., 2001",C.wuellerstorfi
5789.69,0.71,1.97,0.71,2.61,"Hodell et al., 2001",C.wuellerstorfi
5791.64,0.61,2.23,0.61,2.87,"Hodell et al., 2001",C.wuellerstorfi
5793.58,0.53,2.63,0.53,3.27,"Hodell et al., 2001",C.wuellerstorfi
5795.53,0.45,2.42,0.45,3.06,"Hodell et al., 2001",C.wuellerstorfi
5797.47,0.6,2.48,0.6,3.12,"Hodell et al., 2001",C.wuellerstorfi
5799.41,0.46,2.42,0.46,3.06,"Hodell et al., 2001",C.wuellerstorfi
5801.36,0.33,2.43,0.33,3.07,"Hodell et al., 2001",C.wuellerstorfi
5803.3,0.55,2.35,0.55,2.99,"Hodell et al., 2001",C.wuellerstorfi
5804.47,0.73,2.09,0.73,2.73,"Hodell et al., 2001",C.wuellerstorfi
5807.19,0.8,2.14,0.8,2.78,"Hodell et al., 2001",C.wuellerstorfi
5809.13,0.77,2.09,0.77,2.73,"Hodell et al., 2001",C.wuellerstorfi
5811.07,0.7,1.94,0.7,2.58,"Hodell et al., 2001",C.wuellerstorfi
5813.02,0.84,2.24,0.84,2.88,"Hodell et al., 2001",C.wuellerstorfi
5814.96,0.75,2.12,0.75,2.76,"Hodell et al., 2001",C.wuellerstorfi
