Age [ka BP] (AgeD17MT (this study)),Foram bent δ13C [‰ PDB] (vs. VPDB),Foram bent δ18O [‰ PDB] (vs. VPDB),Foram bent δ13C [‰ PDB] (benthic d13C corrected to equ...),Foram bent δ18O [‰ PDB] (benthic d18O corrected to equ...),Reference,Species
7844.38,1.02,1.9,1.02,2.54,"Hodell et al., 2001",C.wuellerstorfi
7844.58,1.45,2.17,1.45,2.81,New data (this study),C.wuellerstorfi
7846.35,0.89,1.98,0.89,2.62,"Hodell et al., 2001",C.wuellerstorfi
7846.54,1.19,2.33,1.19,2.97,New data (this study),C.wuellerstorfi
7848.31,0.77,2.22,0.77,2.86,"Hodell et al., 2001",C.wuellerstorfi
7848.51,0.99,2.31,0.99,2.95,New data (this study),C.wuellerstorfi
7850.28,0.76,2.18,0.76,2.82,"Hodell et al., 2001",C.wuellerstorfi
7850.48,0.97,2.24,0.97,2.88,New data (this study),C.wuellerstorfi
7852.24,1.1,2.26,1.1,2.9,"Hodell et al., 2001",C.wuellerstorfi
7852.44,0.94,2.24,0.94,2.88,New data (this study),C.wuellerstorfi
7854.21,1.06,2.33,1.06,2.97,"Hodell et al., 2001",C.wuellerstorfi
7854.41,0.97,2.34,0.97,2.98,New data (this study),C.wuellerstorfi
7856.18,0.99,2.1,0.99,2.74,"Hodell et al., 2001",C.wuellerstorfi
7856.37,0.95,2.28,0.95,2.92,New data (this study),C.wuellerstorfi
7858.14,1.03,2.12,1.03,2.76,"Hodell et al., 2001",C.wuellerstorfi
7858.34,0.94,2.08,0.94,2.72,New data (this study),C.wuellerstorfi
7860.11,0.89,2.07,0.89,2.71,"Hodell et al., 2001",C.wuellerstorfi
7860.3,1.08,2.15,1.08,2.79,New data (this study),C.wuellerstorfi
7862.07,0.87,2.11,0.87,2.75,"Hodell et al., 2001",C.wuellerstorfi
7862.27,0.99,2.03,0.99,2.67,New data (this study),C.wuellerstorfi
7864.23,0.97,2.13,0.97,2.77,New data (this study),C.wuellerstorfi
7866.2,0.71,2.14,0.71,2.78,New data (this study),C.wuellerstorfi
7868.17,0.72,2.28,0.72,2.92,New data (this study),C.wuellerstorfi
7870.13,1.12,2.2,1.12,2.84,New data (this study),C.wuellerstorfi
7872.1,1.15,2.11,1.15,2.75,New data (this study),C.wuellerstorfi
7872.1,1.15,2.09,1.15,2.73,New data (this study),C.wuellerstorfi
7874.06,1.09,2.04,1.09,2.68,New data (this study),C.wuellerstorfi
7876.03,1.11,2.06,1.11,2.7,New data (this study),C.wuellerstorfi
7877.99,1.12,2.25,1.12,2.89,New data (this study),C.wuellerstorfi
7879.96,1.12,2.31,1.12,2.95,New data (this study),C.wuellerstorfi
7881.93,1.02,2.23,1.02,2.87,New data (this study),C.wuellerstorfi
7883.89,0.99,2.16,0.99,2.8,New data (this study),C.wuellerstorfi
7885.86,1,2.13,1,2.77,New data (this study),C.wuellerstorfi
7887.23,1.09,2.23,1.09,2.87,"Hodell et al., 2001",C.wuellerstorfi
7887.82,1.22,2.18,1.22,2.82,New data (this study),C.wuellerstorfi
7889.2,0.89,2.16,0.89,2.8,"Hodell et al., 2001",C.wuellerstorfi
7889.79,1.07,2.09,1.07,2.73,New data (this study),C.wuellerstorfi
7891.16,0.89,2.15,0.89,2.79,"Hodell et al., 2001",C.wuellerstorfi
7891.75,1.1,2.15,1.1,2.79,New data (this study),C.wuellerstorfi
7893.13,0.87,2.11,0.87,2.75,"Hodell et al., 2001",C.wuellerstorfi
7893.72,1.04,2.24,1.04,2.88,New data (this study),C.wuellerstorfi
7894.7,1.1,2.24,1.1,2.88,"Hodell et al., 2001",C.wuellerstorfi
7895.69,1.1,2.14,1.1,2.78,New data (this study),C.wuellerstorfi
7897.06,1,2.13,1,2.77,"Hodell et al., 2001",C.wuellerstorfi
7897.65,1,2.18,1,2.82,New data (this study),C.wuellerstorfi
7897.65,1.09,2.16,1.09,2.8,New data (this study),C.wuellerstorfi
7899.03,0.99,2.02,0.99,2.66,"Hodell et al., 2001",C.wuellerstorfi
7899.62,1.16,2.19,1.16,2.83,New data (this study),C.wuellerstorfi
7900.99,0.94,2.18,0.94,2.82,"Hodell et al., 2001",C.wuellerstorfi
7901.58,1,2.16,1,2.8,New data (this study),C.wuellerstorfi
7902.96,1.03,2.11,1.03,2.75,"Hodell et al., 2001",C.wuellerstorfi
7903.55,1.1,2.13,1.1,2.77,New data (this study),C.wuellerstorfi
7904.92,0.94,1.99,0.94,2.63,"Hodell et al., 2001",C.wuellerstorfi
7905.51,1.18,2.21,1.18,2.85,New data (this study),C.wuellerstorfi
7906.89,1.09,2.23,1.09,2.87,"Hodell et al., 2001",C.wuellerstorfi
7908.85,1.06,2.16,1.06,2.8,"Hodell et al., 2001",C.wuellerstorfi
7910.82,1.12,2.27,1.12,2.91,"Hodell et al., 2001",C.wuellerstorfi
7912.79,1.11,2.26,1.11,2.9,"Hodell et al., 2001",C.wuellerstorfi
7914.75,1.21,2.21,1.21,2.85,"Hodell et al., 2001",C.wuellerstorfi
7916.72,1.19,2.26,1.19,2.9,"Hodell et al., 2001",C.wuellerstorfi
7918.68,1.09,1.97,1.09,2.61,"Hodell et al., 2001",C.wuellerstorfi
7920.65,1.26,2.29,1.26,2.93,"Hodell et al., 2001",C.wuellerstorfi
7922.61,1.18,2.18,1.18,2.82,"Hodell et al., 2001",C.wuellerstorfi
7924.58,1.13,2.24,1.13,2.88,"Hodell et al., 2001",C.wuellerstorfi
7926.55,1.01,2.13,1.01,2.77,"Hodell et al., 2001",C.wuellerstorfi
7928.51,0.99,2,0.99,2.64,"Hodell et al., 2001",C.wuellerstorfi
7930.48,1.04,2.2,1.04,2.84,"Hodell et al., 2001",C.wuellerstorfi
7932.84,0.95,2.27,0.95,2.91,"Hodell et al., 2001",C.wuellerstorfi
7934.41,1.05,2.22,1.05,2.86,"Hodell et al., 2001",C.wuellerstorfi
7936.37,1.05,2.28,1.05,2.92,"Hodell et al., 2001",C.wuellerstorfi
7938.34,1.14,2.21,1.14,2.85,"Hodell et al., 2001",C.wuellerstorfi
7940.31,1.28,2.42,1.28,3.06,"Hodell et al., 2001",C.wuellerstorfi
7942.27,1.17,2.29,1.17,2.93,"Hodell et al., 2001",C.wuellerstorfi
7944.24,1.26,2.3,1.26,2.94,"Hodell et al., 2001",C.wuellerstorfi
7946.2,1.09,2.17,1.09,2.81,"Hodell et al., 2001",C.wuellerstorfi
7948.17,1.1,2.2,1.1,2.84,"Hodell et al., 2001",C.wuellerstorfi
7950.13,0.94,2.06,0.94,2.7,"Hodell et al., 2001",C.wuellerstorfi
7952.1,1.24,2.6,1.24,3.24,"Hodell et al., 2001",C.wuellerstorfi
7954.06,1.05,2.31,1.05,2.95,"Hodell et al., 2001",C.wuellerstorfi
7956.03,1.13,2.46,1.13,3.1,"Hodell et al., 2001",C.wuellerstorfi
7958,1.04,2.28,1.04,2.92,"Hodell et al., 2001",C.wuellerstorfi
7959.96,0.83,2.44,0.83,3.08,"Hodell et al., 2001",C.wuellerstorfi
7961.93,1.01,2.23,1.01,2.87,"Hodell et al., 2001",C.wuellerstorfi
7963.89,1.13,2.35,1.13,2.99,"Hodell et al., 2001",C.wuellerstorfi
7965.86,0.76,2.22,0.76,2.86,"Hodell et al., 2001",C.wuellerstorfi
7967.82,0.99,2.23,0.99,2.87,"Hodell et al., 2001",C.wuellerstorfi
7969.79,1.13,2.17,1.13,2.81,"Hodell et al., 2001",C.wuellerstorfi
7971.76,1.05,2.21,1.05,2.85,"Hodell et al., 2001",C.wuellerstorfi
7973.72,1.07,2.1,1.07,2.74,"Hodell et al., 2001",C.wuellerstorfi
7975.69,1.07,2.05,1.07,2.69,"Hodell et al., 2001",C.wuellerstorfi
7977.65,1.18,2,1.18,2.64,"Hodell et al., 2001",C.wuellerstorfi
7979.62,1.24,2.18,1.24,2.82,"Hodell et al., 2001",C.wuellerstorfi
7981.58,0.98,2.02,0.98,2.66,"Hodell et al., 2001",C.wuellerstorfi
7983.55,1.33,2.1,1.33,2.74,"Hodell et al., 2001",C.wuellerstorfi
7985.52,1.19,2.02,1.19,2.66,"Hodell et al., 2001",C.wuellerstorfi
7987.48,1.21,2.09,1.21,2.73,"Hodell et al., 2001",C.wuellerstorfi
7989.45,1.29,2.19,1.29,2.83,"Hodell et al., 2001",C.wuellerstorfi
7991.41,1.15,2.22,1.15,2.86,"Hodell et al., 2001",C.wuellerstorfi
7993.38,1.18,2.14,1.18,2.78,"Hodell et al., 2001",C.wuellerstorfi
7995.34,1.11,2.16,1.11,2.8,"Hodell et al., 2001",C.wuellerstorfi
7997.31,1.1,2.06,1.1,2.7,"Hodell et al., 2001",C.wuellerstorfi
7999.27,0.96,2.1,0.96,2.74,"Hodell et al., 2001",C.wuellerstorfi
8001.24,0.99,2.04,0.99,2.68,"Hodell et al., 2001",C.wuellerstorfi
8003.21,1.12,2.21,1.12,2.85,"Hodell et al., 2001",C.wuellerstorfi
8005.17,1.12,2.03,1.12,2.67,"Hodell et al., 2001",C.wuellerstorfi
8007.14,1.24,2.09,1.24,2.73,"Hodell et al., 2001",C.wuellerstorfi
8009.1,1.15,1.97,1.15,2.61,"Hodell et al., 2001",C.wuellerstorfi
8011.07,1.04,2.03,1.04,2.67,"Hodell et al., 2001",C.wuellerstorfi
8013.03,1.3,1.9,1.3,2.54,"Hodell et al., 2001",C.wuellerstorfi
8015,1.01,1.87,1.01,2.51,"Hodell et al., 2001",C.wuellerstorfi
8016.97,1.08,2,1.08,2.64,"Hodell et al., 2001",C.wuellerstorfi
8018.93,0.9,1.92,0.9,2.56,"Hodell et al., 2001",C.wuellerstorfi
8020.9,1.03,1.95,1.03,2.59,"Hodell et al., 2001",C.wuellerstorfi
8022.86,1.17,2.08,1.17,2.72,"Hodell et al., 2001",C.wuellerstorfi
8077.31,1.37,2.07,1.37,2.71,"Hodell et al., 2001",C.wuellerstorfi
8079.28,1.23,1.89,1.23,2.53,"Hodell et al., 2001",C.wuellerstorfi
8081.24,1.24,1.9,1.24,2.54,"Hodell et al., 2001",C.wuellerstorfi
8083.21,1.38,1.91,1.38,2.55,"Hodell et al., 2001",C.wuellerstorfi
8085.17,1.17,1.88,1.17,2.52,"Hodell et al., 2001",C.wuellerstorfi
8087.14,1.21,1.93,1.21,2.57,"Hodell et al., 2001",C.wuellerstorfi
8091.07,1.39,2.01,1.39,2.65,"Hodell et al., 2001",C.wuellerstorfi
8093.04,1.26,1.94,1.26,2.58,"Hodell et al., 2001",C.wuellerstorfi
8095,1.31,1.89,1.31,2.53,"Hodell et al., 2001",C.wuellerstorfi
8096.97,1.15,1.82,1.15,2.46,"Hodell et al., 2001",C.wuellerstorfi
8098.93,1.26,1.82,1.26,2.46,"Hodell et al., 2001",C.wuellerstorfi
8100.9,1.18,1.73,1.18,2.37,"Hodell et al., 2001",C.wuellerstorfi
8102.86,1.11,1.77,1.11,2.41,"Hodell et al., 2001",C.wuellerstorfi
8108.76,0.96,1.95,0.96,2.59,"Hodell et al., 2001",C.wuellerstorfi
8110.73,1.04,2.05,1.04,2.69,"Hodell et al., 2001",C.wuellerstorfi
8116.62,1.11,2.07,1.11,2.71,"Hodell et al., 2001",C.wuellerstorfi
8118.59,1.14,2.09,1.14,2.73,"Hodell et al., 2001",C.wuellerstorfi
8120.55,1.23,2.17,1.23,2.81,"Hodell et al., 2001",C.wuellerstorfi
8124.49,0.97,2.06,0.97,2.7,"Hodell et al., 2001",C.wuellerstorfi
8126.45,0.75,2.21,0.75,2.85,"Hodell et al., 2001",C.wuellerstorfi
8128.42,0.96,2.44,0.96,3.08,"Hodell et al., 2001",C.wuellerstorfi
8130.38,1.12,2.22,1.12,2.86,"Hodell et al., 2001",C.wuellerstorfi
8132.35,1.25,2.16,1.25,2.8,"Hodell et al., 2001",C.wuellerstorfi
8134.31,1.3,2.07,1.3,2.71,"Hodell et al., 2001",C.wuellerstorfi
8136.28,1.23,2.13,1.23,2.77,"Hodell et al., 2001",C.wuellerstorfi
8138.25,1.23,2.02,1.23,2.66,"Hodell et al., 2001",C.wuellerstorfi
8140.21,1.29,2.13,1.29,2.77,"Hodell et al., 2001",C.wuellerstorfi
8142.18,1.22,2.12,1.22,2.76,"Hodell et al., 2001",C.wuellerstorfi
8144.14,1.12,2.05,1.12,2.69,"Hodell et al., 2001",C.wuellerstorfi
8146.11,1.04,1.9,1.04,2.54,"Hodell et al., 2001",C.wuellerstorfi
8148.08,1.13,2.14,1.13,2.78,"Hodell et al., 2001",C.wuellerstorfi
8150.04,1.05,2.12,1.05,2.76,"Hodell et al., 2001",C.wuellerstorfi
8152.01,0.98,2.08,0.98,2.72,"Hodell et al., 2001",C.wuellerstorfi
8153.97,1.16,2.15,1.16,2.79,"Hodell et al., 2001",C.wuellerstorfi
8157.9,1.15,2,1.15,2.64,"Hodell et al., 2001",C.wuellerstorfi
8159.87,1.06,1.96,1.06,2.6,"Hodell et al., 2001",C.wuellerstorfi
8161.83,1.04,1.98,1.04,2.62,"Hodell et al., 2001",C.wuellerstorfi
8163.8,0.87,1.85,0.87,2.49,"Hodell et al., 2001",C.wuellerstorfi
8165.77,0.85,1.93,0.85,2.57,"Hodell et al., 2001",C.wuellerstorfi
8167.73,0.86,1.97,0.86,2.61,"Hodell et al., 2001",C.wuellerstorfi
8169.7,0.74,2.01,0.74,2.65,"Hodell et al., 2001",C.wuellerstorfi
8171.66,0.52,2,0.52,2.64,"Hodell et al., 2001",C.wuellerstorfi
8173.63,1.07,1.92,1.07,2.56,"Hodell et al., 2001",C.wuellerstorfi
8175.59,1.15,2,1.15,2.64,"Hodell et al., 2001",C.wuellerstorfi
8177.56,1.14,2.08,1.14,2.72,"Hodell et al., 2001",C.wuellerstorfi
8179.52,1.06,1.81,1.06,2.45,"Hodell et al., 2001",C.wuellerstorfi
8181.49,0.87,1.87,0.87,2.51,"Hodell et al., 2001",C.wuellerstorfi
8183.46,1.02,1.95,1.02,2.59,"Hodell et al., 2001",C.wuellerstorfi
8185.42,1.14,1.98,1.14,2.62,"Hodell et al., 2001",C.wuellerstorfi
