Age model opt [ka],Cibicidoides spp. d13C [per mil PDB]
24,0.394
24.002,0.642
24.004,0.625
24.006,0.456
24.008,0.623
24.01,0.727
24.013,0.577
24.021,0.632
24.025,0.498
24.029,0.526
24.033,0.369
24.037,0.582
24.044,0.673
24.047,0.698
24.05,0.704
24.054,0.721
24.057,0.647
24.061,0.592
24.065,0.338
24.068,0.43
24.075,0.498
24.078,0.477
24.081,0.396
24.084,0.513
24.088,0.439
24.101,0.423
24.106,0.394
24.112,0.449
24.121,0.737
24.125,0.632
24.129,0.602
24.137,0.6
24.141,0.674
24.145,0.642
24.15,0.583
24.154,0.719
24.163,0.764
24.167,0.581
24.171,0.631
24.176,0.531
24.18,0.567
24.187,0.401
24.189,0.417
24.194,0.378
24.196,0.636
24.199,0.615
24.2,0.685
24.203,0.451
24.208,0.671
24.21,0.746
24.212,0.669
24.215,0.804
24.217,0.729
24.221,0.894
24.224,0.711
24.227,0.623
24.234,0.694
24.237,0.656
24.24,0.606
24.243,0.833
24.246,0.793
24.252,0.774
24.287,0.734
24.29,0.78
24.293,0.758
24.296,0.853
24.299,0.76
24.301,0.628
24.304,0.822
24.307,0.636
24.31,0.707
24.313,0.585
24.316,0.6
24.319,0.586
24.322,0.529
24.325,0.619
24.327,0.607
24.33,0.585
24.333,0.567
24.336,0.568
24.339,0.575
24.342,0.466
24.345,0.41
24.349,0.434
24.352,0.539
24.355,0.659
24.359,0.678
24.362,0.741
24.365,0.683
24.369,0.761
24.374,0.708
24.379,0.623
24.384,0.614
24.389,0.695
24.394,0.688
24.399,0.714
24.404,0.699
24.409,0.649
24.413,0.64
24.418,0.623
24.423,0.594
24.428,0.445
24.433,0.573
24.438,0.585
24.443,0.628
24.448,0.552
24.453,0.297
24.457,0.746
24.463,0.607
24.468,0.528
24.478,0.082
24.483,0.264
24.488,0.386
24.493,0.605
24.496,0.531
24.5,0.687
24.503,0.775
24.507,0.774
24.511,0.311
24.518,0.606
24.522,0.614
24.529,0.513
24.532,0.227
24.537,0.403
24.542,0.256
24.547,0.337
24.557,0.7
24.598,0.897
24.603,0.833
24.607,0.554
24.609,0.815
24.612,0.828
24.614,0.496
24.617,0.84
24.619,0.877
24.622,1.024
24.624,1.045
24.627,0.799
24.629,0.669
24.632,0.661
24.634,0.619
24.637,0.707
24.639,0.57
24.643,0.967
24.652,0.967
24.652,0.601
24.657,0.969
24.657,0.616
24.661,0.798
24.666,0.618
24.67,0.49
24.675,0.564
24.684,0.637
24.687,0.74
24.693,0.634
24.696,0.677
24.699,0.833
24.702,0.622
24.705,0.699
24.708,0.696
24.711,0.624
24.714,0.616
24.717,0.659
24.721,0.747
24.725,0.758
24.729,0.843
24.734,0.747
24.738,0.721
24.742,0.597
24.747,0.586
24.751,0.569
24.755,0.473
24.76,0.496
24.764,0.707
24.768,0.524
24.772,0.738
24.777,0.725
24.781,0.679
24.785,0.665
24.789,0.606
24.793,0.567
24.798,0.521
24.802,0.439
24.806,0.469
24.81,0.382
24.814,0.428
24.822,0.568
24.825,0.492
24.829,0.295
24.833,0.326
24.836,0.39
24.84,0.32
24.845,0.36
24.85,0.43
24.856,0.46
24.861,0.632
24.867,0.372
24.873,0.547
24.877,0.313
24.879,0.402
24.882,0.441
24.884,0.487
24.887,0.628
24.89,0.658
24.893,0.777
24.896,0.704
24.898,0.698
24.901,0.62
24.904,0.632
24.907,0.464
24.91,0.408
24.913,0.345
24.915,0.322
24.918,0.242
24.921,0.304
24.924,0.402
24.927,0.407
24.929,0.359
24.939,0.331
24.949,0.43
24.959,0.45
24.963,0.369
24.967,0.227
24.971,0.334
24.975,0.37
24.979,0.591
24.983,0.547
24.986,0.517
24.99,0.616
24.997,0.39
25,0.328
25,0.48
25.005,0.528
25.005,0.483
25.009,0.576
25.037,0.648
25.041,0.469
25.045,0.522
25.049,0.44
