Depth [m],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
98.68,19192,1.15,2.12
98.73,19197,0.64,1.79
98.78,19201,1,1.84
98.83,19206,0.86,1.89
98.88,19211,1.26,2.03
98.93,19215,0.85,1.92
98.98,19220,0.65,1.85
99.04,19226,0.87,1.91
99.09,19231,0.87,1.6
99.13,19234,0.81,1.79
99.18,19239,0.7,1.72
99.23,19244,0.54,2.06
99.28,19250,0.88,1.92
99.48,19272,0.58,1.48
99.57,19277,0.77,1.92
99.93,19298,1.02,1.9
100.13,19309,1.14,1.97
100.18,19312,1.32,2.15
100.23,19315,1.12,2.28
100.28,19318,1.3,2.36
100.33,19321,1.19,2.05
100.43,19327,,2.03
100.53,19335,1.04,2.1
100.58,19338,0.93,2
100.63,19342,1.31,1.98
100.68,19346,0.83,2.17
100.78,19354,0.98,2.13
100.83,19358,1.43,2.1
100.88,19362,1.28,2.39
100.93,19365,1.27,2.25
100.98,19368,1,2
101.03,19371,0.93,2.19
101.07,19373,1.04,2.07
101.13,19376,0.76,2.12
101.18,19379,0.86,1.96
101.22,19382,0.95,2.11
101.28,19385,0.71,2.53
101.33,19388,0.48,1.48
101.38,19392,0.84,1.58
101.43,19396,0.81,1.8
101.48,19400,0.57,1.73
101.53,19404,0.74,1.8
101.58,19408,0.63,1.75
101.63,19412,0.86,2.15
101.68,19416,0.91,2
101.74,19421,0.85,2.08
101.79,19425,0.81,1.77
101.83,19428,0.68,1.78
101.88,19434,0.76,2.12
102.03,19451,1.01,2.04
102.08,19457,1.11,2.24
102.13,19463,0.52,1.94
102.19,19470,0.91,2.21
102.24,19476,0.8,2.17
102.29,19481,0.74,2.2
102.33,19486,1.06,2.11
102.48,19503,0.71,1.92
102.59,19516,0.58,1.65
102.63,19521,0.51,1.86
102.68,19527,0.59,1.74
102.73,19533,0.57,1.86
102.78,19538,0.48,1.82
102.93,19556,0.29,1.48
103.03,19568,0.54,1.76
103.08,19574,0.7,2.11
103.13,19579,0.68,1.69
103.18,19585,1.02,1.8
103.28,19597,0.62,1.86
103.33,19603,0.7,1.62
103.38,19609,0.87,1.72
103.43,19615,0.78,1.89
103.48,19620,0.69,1.7
103.53,19626,0.57,1.69
103.59,19633,0.21,1.65
103.63,19636,0.73,1.77
103.68,19641,0.77,1.41
103.73,19645,0.77,1.34
103.78,19649,0.95,1.75
103.83,19653,0.47,1.25
103.88,19657,0.52,1.27
103.93,19661,0.87,1.95
103.98,19665,0.56,1.67
104.03,19669,0.77,1.81
104.09,19673,0.83,1.93
104.13,19676,0.83,2.05
104.18,19680,1.01,2.03
104.23,19684,1.11,2.31
104.29,19688,0.91,2.19
104.33,19691,0.97,2.27
104.43,19698,1.16,2.28
104.48,19702,0.99,2.12
104.53,19706,0.83,1.81
104.59,19710,0.89,1.8
104.63,19713,0.91,2.08
104.68,19717,0.8,1.94
104.73,19721,0.8,1.68
104.78,19724,0.76,1.82
104.83,19728,0.87,2.12
104.88,19732,0.83,2.14
104.93,19736,0.85,2.07
104.98,19741,0.76,2.05
105.03,19746,0.97,2.01
105.09,19751,0.8,1.98
105.13,19755,0.84,1.89
105.18,19759,0.75,1.68
105.23,19764,0.7,1.76
105.28,19769,0.84,1.67
105.33,19773,0.75,1.98
105.38,19778,0.88,1.86
105.43,19782,0.82,1.94
105.48,19787,0.9,1.97
105.53,19792,0.58,1.64
105.59,19797,0.09,1.34
105.63,19800,0.39,1.62
105.73,19807,0.34,1.58
105.78,19811,0.5,1.64
105.83,19814,0.49,1.74
105.88,19818,1.01,1.95
105.93,19821,0.91,1.88
106.03,19828,0.75,1.75
106.09,19832,0.67,1.64
106.13,19835,0.51,1.71
106.18,19839,0.77,1.73
106.28,19846,0.77,1.8
106.33,19850,0.91,2.05
106.38,19853,0.94,2.05
106.43,19860,0.82,1.68
106.48,19867,0.9,1.66
106.53,19874,0.41,1.79
106.59,19883,0.96,1.68
106.63,19888,0.69,1.59
106.68,19896,0.81,1.72
106.73,19903,0.57,1.9
106.78,19910,0.55,1.46
106.83,19917,0.36,1.36
106.88,19920,0.54,1.65
106.93,19924,0.62,1.73
106.98,19928,0.35,1.83
107.03,19931,0.78,1.71
107.08,19935,0.37,1.94
107.13,19939,0.75,2.08
107.18,19942,0.5,1.87
107.23,19946,0.55,1.83
107.28,19950,0.51,2
107.33,19953,0.52,1.94
107.38,19957,0.39,1.77
107.43,19961,0.26,1.74
107.48,19964,0.63,1.78
107.53,19968,0.52,1.73
107.63,19975,0.56,1.9
107.68,19979,0.44,1.71
107.73,19982,0.51,1.87
107.78,19986,0.54,1.57
107.83,19990,0.34,1.73
107.88,19993,-0.14,1.29
107.93,19997,0.39,1.22
107.98,20002,0.09,1.84
107.99,20003,0.52,1.8
108.04,20008,0.31,1.9
108.09,20013,0.55,1.85
108.13,20017,0.25,1.7
108.18,20022,0.4,1.44
108.24,20028,0.12,1.58
108.29,20033,-0.35,1.28
108.34,20038,0.77,1.57
108.39,20044,0.92,1.49
108.43,20048,0.76,1.4
108.48,20053,0.53,1.25
108.54,20059,0.86,1.48
108.59,20064,0.64,1.33
