rmcd (2),Age (Ma) (manual) (3),d13Cvpdb,d18Ovpdb,
117.24,24.938,0.651,1.442,
117.29,24.941,0.660,1.298,
117.34,24.945,0.762,1.671,
117.39,24.948,0.729,1.649,
117.44,24.952,0.395,1.573,
117.49,24.956,0.376,1.802,
117.51,24.957,0.502,1.863,
117.54,24.959,0.630,1.817,
117.59,24.963,0.333,1.591,
117.64,24.966,0.336,1.547,
117.69,24.970,0.500,1.781,
117.74,24.974,0.337,1.446,
117.79,24.977,0.512,1.404,
117.84,24.981,0.310,1.260,
117.89,24.984,0.380,1.361,
117.94,24.988,0.241,1.312,
117.99,24.991,0.332,1.573,
118.04,24.995,0.494,1.451,
118.09,24.999,0.263,1.323,
118.14,25.002,0.447,1.427,
118.19,25.006,0.335,1.512,
118.24,25.009,0.517,1.406,
118.29,25.013,0.724,1.518,
118.34,25.017,0.444,1.536,
118.39,25.020,0.609,1.661,
118.44,25.024,0.567,1.578,
118.47,25.026,0.460,1.770,
118.49,25.027,0.676,1.576,
118.54,25.031,0.824,1.565,
118.59,25.035,0.668,1.520,
118.64,25.038,0.726,1.235,
118.69,25.042,1.017,1.686,
118.74,25.045,0.672,1.342,
118.79,25.049,0.609,1.443,
118.84,25.052,0.879,1.503,
118.89,25.056,0.394,1.416,
118.94,25.060,0.633,1.467,
118.99,25.063,0.491,1.601,
119.01,25.065,0.529,1.492,
119.04,25.067,0.364,1.433,
119.09,25.070,0.846,1.668,
119.14,25.074,0.343,1.512,
119.19,25.078,0.663,1.374,
119.24,25.081,0.679,1.602,
119.29,25.085,0.319,1.489,
119.34,25.088,0.508,1.555,
119.39,25.092,0.556,1.567,
119.44,25.096,0.654,1.564,
119.49,25.099,0.491,1.584,
119.54,25.103,0.478,1.467,
119.59,25.106,0.450,1.686,
119.64,25.110,0.774,1.890,
119.69,25.113,0.525,1.648,
119.74,25.117,0.619,1.686,
119.77,25.119,0.540,1.750,
119.84,25.124,0.861,1.679,
119.89,25.128,0.823,1.688,
119.94,25.131,0.426,1.746,
119.99,25.135,0.809,1.612,
120.04,25.139,0.757,1.631,
120.09,25.142,0.727,1.664,
120.14,25.146,0.515,1.690,
120.19,25.149,0.659,1.608,
120.24,25.153,0.246,1.369,
120.29,25.157,0.754,1.548,
120.34,25.160,0.417,1.557,
120.39,25.164,0.537,1.420,
120.44,25.167,0.592,1.621,
120.49,25.171,0.723,1.549,
120.54,25.174,0.408,1.172,
120.59,25.178,-0.128,1.701,
120.64,25.182,0.528,1.365,
120.69,25.185,0.443,1.403,
120.74,25.189,0.522,1.286,
120.79,25.192,0.792,1.613,
120.84,25.196,0.444,1.258,
120.89,25.200,0.474,1.229,
120.94,25.203,0.867,1.535,
120.99,25.207,0.402,1.325,
121.01,25.208,0.540,1.600,
121.04,25.210,0.737,1.525,
121.09,25.214,0.837,1.729,
121.14,25.218,0.512,1.413,
121.19,25.221,0.783,1.567,
121.24,25.225,0.591,1.239,
121.29,25.228,0.704,1.402,
121.39,25.235,0.772,1.607,
121.44,25.239,0.659,1.479,
121.46,25.240,0.510,1.500,
121.49,25.243,0.547,1.496,
121.54,25.246,0.576,1.580,
121.59,25.250,0.567,1.510,
121.59,25.250,0.669,1.800,
