depth_m,age_calkaBP,d13Cc.wuell,d18Oc.wuell-cor64
17.5,2653.1,0.91,3.51
17.525,2655.5,0.9,3.25
17.55,2657.8,0.56,3.5
17.575,2660.2,0.62,3.09
17.6,2662.6,0.48,3.91
17.625,2665,0.66,3.45
17.65,2667.4,0.6,3.62
17.675,2669.8,0.53,3.79
17.7,2672.1,0.53,3.31
17.725,2674.5,0.72,3.49
17.75,2676.9,0.48,3.74
17.775,2679.3,0.56,3.74
17.8,2681.7,0.71,3.33
17.825,2684,0.67,3.95
17.85,2686.4,0.62,3.61
17.875,2688.8,0.79,3.63
17.9,2691.2,0.72,3.87
17.925,2693.6,0.52,3.79
17.95,2695.9,0.79,4.15
17.975,2698.3,0.8,3.6
18.025,2703.1,0.82,3.72
18.05,2705.5,0.67,3.83
18.075,2707.9,0.54,3.84
18.1,2710.2,0.16,4.01
18.125,2712.6,0.59,3.52
18.15,2715,0.52,3.94
18.175,2716.8,0.47,3.31
18.2,2718.5,0.44,3.73
18.225,2720.3,0.35,3.77
18.25,2722,0.5,3.87
18.3,2725.5,0.57,3.46
18.325,2727.3,0.6,3.49
18.35,2729,0.56,3.43
18.375,2730.8,0.68,3.47
18.4,2732.5,0.56,3.39
18.445,2735.7,0.2,3.06
18.475,2737.8,0.71,3.39
18.5,2739.5,0.62,3.28
18.525,2741.3,0.6,3.27
18.55,2743,0.53,3.43
18.575,2744.8,0.79,3.35
18.6,2746.5,0.4,3.44
18.625,2748.3,0.5,3.14
18.65,2750,0.71,3.3
18.675,2751.8,0.84,3.23
18.7,2753.5,0.96,3.45
18.725,2755.3,0.63,3.29
18.75,2757,0.75,3.46
18.775,2758.8,0.53,3.53
18.8,2760.5,0.56,3.58
18.825,2762.3,0.25,3.6
18.85,2764,0.85,3.67
18.875,2765.8,0.64,3.6
18.9,2767.5,0.83,3.36
18.925,2769.3,0.76,3.4
18.95,2771,0.88,3.39
18.975,2772.8,0.62,3.59
19,2774.5,0.35,3.48
19.025,2776.3,0.89,3.5
19.05,2778,0.7,3.44
19.075,2779.8,0.76,3.35
19.1,2781.5,0.87,3.4
19.125,2783.3,0.74,3.49
19.15,2785,0.52,3.53
19.175,2786.8,0.25,3.62
19.2,2788.5,0.78,3.48
19.225,2790.3,0.88,3.48
19.25,2792,0.74,3.54
19.275,2793.8,0.84,3.72
19.3,2795.5,0.6,3.72
19.325,2797.3,0.75,3.62
19.35,2799,0.69,3.77
19.375,2800.8,0.92,3.64
19.4,2802.5,0.4,3.77
19.425,2804.3,1.05,3.99
19.45,2807.3,0.26,3.66
19.475,2811.3,0.35,3.46
19.5,2815.3,0.64,3.49
19.525,2819.3,0.56,3.34
19.55,2823.3,0.67,3.29
19.575,2827.3,0.9,3.21
19.69,2845.6,0.61,3.3
19.715,2849.6,0.61,3.38
19.74,2853.6,0.56,3.21
19.765,2857.6,0.34,3.42
19.79,2861.6,0.8,3.4
19.815,2865.6,0.66,3.56
19.84,2869.6,0.58,3.23
19.865,2873.6,0.78,3.15
19.89,2877.6,0.66,3.67
19.915,2881.6,0.72,3.3
19.965,2889.6,0.75,3.35
19.99,2893.6,0.67,3.37
20.015,2897.6,0.71,3.49
20.04,2901.6,0.85,3.36
20.065,2905.6,0.74,3.35
20.09,2909.5,0.57,3.24
20.115,2913.5,0.25,3.61
20.14,2917.5,0.6,3.39
20.165,2921.5,0.74,3.25
20.19,2925.5,0.52,3.81
20.215,2929.5,0.7,3.11
20.24,2933.5,0.17,3.91
20.265,2937.5,0.48,3.24
20.29,2940.7,0.31,2.87
20.315,2944,0.74,3.04
20.34,2947.2,0.51,3.86
