Ma,U1146 bent d13C [per mil PDB] (Cibicidoides wuellerstorfi + ..,U1146 bent d18O [per mil PDB] (Cibicidoides wuellerstorfi + ..
6.051975365,-0.13,2.55
6.054335824,-0.14,2.55
6.056696282,-0.1,2.55
6.061417199,-0.18,2.43
6.063777657,-0.14,2.43
6.066138115,-0.16,2.44
6.068498574,-0.08,2.68
6.070859032,-0.12,2.56
6.07321949,-0.09,2.75
6.075579949,0.14,2.58
6.077940407,0.12,2.72
6.080300865,0.12,2.53
6.082661324,0.19,2.4
6.085021782,0.18,2.67
6.087382241,0.22,2.61
6.089742699,0.15,2.39
6.092103157,0.23,2.41
6.094463616,0.36,2.61
6.095954223,0.23,2.48
6.097369512,0.31,2.48
6.098784801,0.15,2.39
6.10020009,-0.15,2.45
6.101615378,0.01,2.31
6.103030667,-0.25,2.35
6.104445956,-0.1,2.48
6.105861245,-0.39,2.65
6.107276534,-0.41,2.42
6.108691822,-0.3,2.58
6.110107111,-0.41,2.86
6.1115224,-0.47,2.83
6.112937689,-0.4,2.71
6.114352978,-0.26,2.75
6.128505865,-0.41,2.82
6.129921154,-0.27,2.76
6.131336443,-0.42,2.59
6.132751732,-0.27,2.71
6.135582309,-0.12,2.46
6.136997598,0.01,2.52
6.138412887,0.07,2.49
6.139828176,0.11,2.5
6.141243465,0.09,2.36
6.142658753,0.09,2.35
6.144074042,0.17,2.42
6.145489331,0.16,2.47
6.14690462,0.24,2.56
6.148319908,0.24,2.52
6.149735197,0.2,2.51
6.151150486,0.12,2.52
6.152565775,0.17,2.65
6.153981064,0.19,2.4
6.155396352,0.13,2.49
6.156811641,0.13,2.58
6.15822693,0.21,2.51
6.159642219,0.14,2.58
6.161057508,0.01,2.41
6.162472796,-0.06,2.54
6.163888085,0.06,2.4
6.165303374,-0.02,2.56
6.166718663,-0.11,2.63
6.168133951,-0.02,2.62
6.16954924,0.05,2.58
6.170964529,0.12,2.59
6.172379818,0.16,2.51
6.173795107,0.2,2.4
6.175210395,0.06,2.52
6.176625684,0.03,2.4
6.178040973,0,2.4
6.179456262,0.03,2.59
6.180871551,-0.02,2.48
6.182286839,-0.08,2.45
6.183702128,-0.18,2.48
6.185117417,0.06,2.47
6.186532706,0.16,2.58
6.187947995,0.16,2.58
6.189363283,0.03,2.52
6.190778572,0.04,2.47
6.192193861,0,2.44
6.19360915,0.03,2.43
6.195024438,-0.04,2.47
6.196439727,-0.09,2.53
6.197855016,-0.19,2.51
6.199270305,-0.22,2.48
6.200685594,-0.26,2.65
6.202100882,-0.37,2.67
6.203516171,-0.3,2.69
6.20493146,-0.28,2.69
6.206346749,-0.22,2.61
6.207762038,-0.1,2.54
6.209177326,0.09,2.69
6.210592615,0.04,2.62
6.212007904,-0.02,2.64
6.213423193,0,2.45
6.214838481,-0.02,2.49
6.21625377,0.12,2.51
6.217669059,0.09,2.43
6.219084348,0.1,2.44
6.220499637,0.12,2.52
6.221914925,0.06,2.6
6.223330214,0.01,2.59
6.224745503,0.03,2.49
6.226160792,0.12,2.47
6.227576081,0.06,2.77
6.228991369,-0.01,2.56
6.230406658,-0.01,2.41
6.231821947,0.01,2.63
6.233237236,-0.16,2.55
6.234652524,-0.16,2.48
6.236067813,-0.16,2.32
6.237483102,-0.25,2.67
6.238898391,-0.24,2.72
6.24031368,-0.24,2.7
6.241728968,-0.28,2.64
6.243144257,-0.24,2.67
6.244559546,-0.2,2.63
6.245974835,-0.26,2.71
6.247390124,-0.21,2.66
6.248805412,0.01,2.65
6.250220701,0.09,2.73
6.25163599,0.02,2.73
6.253051279,0.14,2.59
6.254466568,-0.06,2.72
6.255315741,0.19,2.56
6.25673103,0.15,2.31
6.258146318,0.38,2.58
6.259456456,0.33,2.51
6.260628269,0.19,2.63
6.261800082,0.35,2.58
6.262971896,0.27,2.41
