Depth cr [rmcd] (mid Depth m adjusted to splic...),Age dated [ka] (D17_MT),Foram bent d13C [per mil PDB] (with respect to equilibrium),Foram bent d18O [per mil PDB] (with respect to equilibrium)
146.36,7326,0.31,2.91
146.39,7328,0.38,2.81
146.46,7330,0.39,2.95
146.49,7331,0.27,3.06
146.56,7334,0.35,3.26
146.59,7335,0.29,3.17
146.66,7338,0.28,3.22
146.69,7339,0.23,3.14
146.76,7342,0.35,3.22
146.79,7343,0.29,3.18
146.86,7346,0.21,3.12
146.89,7347,0.44,3.22
146.97,7351,0.48,3.18
147.01,7352,0.25,3.18
147.07,7355,0.31,3.07
147.12,7357,0.51,3.07
147.18,7359,0.46,3.15
147.21,7360,0.43,2.99
147.29,7363,0.2,2.98
147.32,7364,0.39,2.95
147.39,7367,0.18,2.93
147.42,7368,0.43,2.86
147.49,7371,0.31,3.02
147.52,7372,0.46,3.09
147.57,7374,0.22,2.87
147.6,7376,0.32,2.98
147.67,7378,0.37,3.14
147.69,7379,0.23,3.12
147.76,7382,0.33,3.24
147.79,7383,0.23,3.2
147.85,7386,0.23,3.24
147.88,7387,0.48,3.19
147.95,7390,0.52,3.2
147.97,7390,0.46,2.97
148.05,7394,0.67,3.1
148.08,7395,0.53,3.07
148.15,7397,0.51,3.04
148.18,7399,0.4,3.03
148.25,7401,0.47,2.61
148.28,7403,0.49,2.98
148.34,7405,0.35,2.94
148.37,7406,0.4,3
148.44,7409,0.42,2.99
148.47,7410,0.34,3
148.54,7414,0.33,3.08
148.57,7415,0.28,3.14
148.64,7419,0.29,3.3
148.67,7420,0.34,3.22
148.73,7423,0.4,3.38
148.76,7425,0.38,3.37
148.83,7428,0.23,3.25
148.86,7430,0.42,3.19
148.94,7434,0.54,3.01
148.97,7435,0.51,2.97
149.02,7438,0.41,2.92
149.05,7439,0.44,3.02
149.12,7443,0.43,2.89
149.15,7444,0.55,2.88
149.22,7448,0.52,3.05
149.25,7449,0.32,2.98
149.36,7455,0.34,3.1
149.39,7456,0.35,3.11
149.46,7460,0.27,3.07
149.49,7461,0.28,3.12
149.56,7464,0.23,3.07
149.59,7466,0.26,3.22
149.66,7469,0.36,3.09
149.69,7471,0.3,3.35
149.76,7474,0.4,3.29
149.79,7476,0.56,3.01
149.86,7479,0.6,2.91
149.89,7481,0.64,3.02
149.96,7484,0.33,3.11
149.99,7486,0.42,2.88
150.1,7491,0.64,2.95
150.17,7495,0.33,2.98
150.2,7496,0.53,2.91
150.27,7500,0.41,3.15
150.3,7501,0.09,3.21
150.37,7505,0.49,3.14
150.4,7506,0.17,2.72
150.47,7510,0.34,3.09
150.56,7514,0.12,2.91
150.6,7516,0.37,3.09
150.67,7519,0.38,2.83
150.7,7521,0.45,3.08
150.77,7524,0.64,2.86
150.8,7526,0.61,2.96
150.87,7529,0.54,2.93
150.9,7531,0.61,3.04
150.97,7534,0.68,2.92
151,7536,0.82,3.11
151.06,7539,0.66,3.39
151.1,7541,0.49,3.02
151.17,7544,0.91,3.18
151.2,7546,0.63,3.13
151.27,7549,0.41,3.21
151.3,7551,0.76,3.23
151.37,7554,0.69,2.99
151.4,7556,0.56,3.01
151.46,7559,0.62,3.14
151.49,7560,0.57,3.15
151.56,7564,0.42,2.86
151.59,7565,0.55,3
151.66,7568,0.29,3.22
151.69,7570,0.25,2.85
151.76,7573,0.46,3.13
151.79,7574,0.68,3.16
151.85,7577,0.64,3.1
151.88,7578,0.71,3.23
151.96,7581,0.72,3.14
151.99,7583,0.72,3.13
152.06,7586,0.87,2.68
152.09,7587,0.92,3.01
152.16,7590,0.98,3.01
152.19,7591,0.8,2.98
152.26,7594,0.91,2.93
152.29,7596,0.64,2.77
152.36,7599,0.83,2.99
152.39,7600,0.91,3.01
152.46,7603,0.97,3.11
152.49,7604,0.79,3.06
152.58,7608,0.59,3.31
152.62,7610,0.62,3.24
152.71,7614,0.64,3.23
152.75,7616,0.61,3.24
152.84,7620,0.67,3.41
152.88,7621,0.61,3.06
152.96,7625,0.76,3.39
152.98,7626,0.56,3.3
152.99,7626,0.69,3.24
153.01,7627,0.53,3.02
153.08,7630,0.46,3.18
153.1,7631,0.78,3.25
153.1,7631,0.37,3.13
153.14,7633,0.59,3.24
153.16,7634,0.56,3.2
153.19,7635,0.59,3.23
153.26,7638,0.56,3.07
153.29,7639,0.58,3.03
153.36,7642,0.51,2.87
153.39,7644,0.74,3.03
153.46,7647,0.57,3.17
153.49,7648,0.71,2.78
153.56,7651,0.81,2.96
153.59,7652,0.63,3.09
153.66,7655,0.68,3.13
153.69,7657,0.89,2.95
153.76,7660,0.65,3.3
153.79,7661,0.4,3.12
153.86,7664,0.77,3.47
153.88,7665,0.52,3.38
153.96,7668,0.61,3.2
153.99,7670,0.49,3.27
154.06,7673,0.48,3.37
154.09,7674,0.47,3.26
154.16,7677,0.65,3.33
