U1337_ISOBENt18_CCSF,U1337_ISOBENt18_AgeL2019,U1337_ISOBENt18_d13Cequi,U1337_ISOBENt18_d18Oequi
62.82,3.92305,-0.092,3.114
62.82,3.92305,-0.166,3.08
62.92,3.92647,0.016,3.19
62.94,3.92716,0.095,3.359
63.02,3.92989,0.157,3.259
63.02,3.92989,0.001,3.119
63.22,3.93674,-0.047,3.156
63.22,3.93674,-0.021,3.152
63.32,3.9399,-0.169,3.438
63.42,3.94301,-0.266,3.048
63.82,3.95542,-0.202,3.163
63.94,3.95914,-0.476,3.296
64.02,3.96125,-0.132,3.12
64.12,3.96388,-0.25,3.019
64.44,3.9723,-0.355,3.376
64.52,3.97441,-0.913,3.526
64.62,3.97705,-0.441,3.379
64.72,3.97968,0.025,2.99
64.94,3.98547,0.016,3.07
65.02,3.98758,-0.94,3.44
65.44,3.99863,-0.287,3.576
65.52,4.00239,-0.792,3.784
65.62,4.0071,-0.166,3.427
65.94,4.02214,-0.123,3.303
66.12,4.03061,-1.065,3.758
66.22,4.03531,-0.949,3.697
66.32,4.04001,-0.367,3.51
66.44,4.04565,-0.207,3.609
66.52,4.04941,-0.608,3.411
66.62,4.05411,-0.861,3.481
66.72,4.05881,-0.547,3.36
67.02,4.06937,-0.179,3.444
67.12,4.07209,-0.863,3.541
67.22,4.07482,-0.093,3.413
67.32,4.07754,-0.365,3.145
67.44,4.08082,-0.118,2.887
67.52,4.083,-1.372,3.829
67.72,4.08846,-0.103,3.121
67.82,4.09118,-0.639,3.316
67.92,4.09391,0.08,3.405
68.02,4.09664,-0.294,3.408
68.12,4.09937,-0.753,3.788
68.22,4.1021,-0.033,3.181
68.32,4.10482,-0.459,3.439
68.52,4.11492,-0.617,3.62
68.72,4.12616,-0.163,3.224
68.82,4.13179,-0.074,3.073
68.92,4.13742,0.104,3.241
69.02,4.14304,-0.385,3.238
69.12,4.14866,-0.454,3.336
69.22,4.15429,-0.106,3.18
69.32,4.15991,-0.249,3.335
69.42,4.16553,-0.513,3.392
69.52,4.17116,-0.962,3.247
69.62,4.17678,-0.626,3.29
69.72,4.18164,-0.217,3.081
69.82,4.18648,-0.28,3.025
69.92,4.19131,-0.143,3.586
70.01,4.19566,-0.391,3.638
70.12,4.19944,-0.058,3.177
70.22,4.20288,-0.069,3.127
70.32,4.20632,-0.423,3.392
70.42,4.20976,-0.197,3.099
70.52,4.2132,-0.514,3.342
70.62,4.21665,-1.269,3.565
70.92,4.22697,0.186,3.236
71.02,4.23041,-0.589,3.718
71.12,4.23385,0.091,3.162
71.22,4.23693,-0.254,3.362
71.32,4.23977,-0.376,3.177
71.42,4.24262,-0.08,3.379
71.62,4.24831,-0.574,3.334
71.72,4.25115,-0.314,3.222
72.02,4.25968,-1.058,3.993
72.12,4.26253,-0.212,3.053
72.22,4.26537,0.052,3.107
72.32,4.26821,-0.755,3.385
72.42,4.27106,-0.143,3.207
72.52,4.2739,-0.275,3.118
72.62,4.27674,-0.435,3.415
72.82,4.28242,-0.251,3.276
72.92,4.28535,-0.624,3.279
73.02,4.28831,-0.624,3.389
73.45,4.30104,-0.629,3.264
73.52,4.30312,-0.277,3.256
73.62,4.30608,-0.47,3.373
73.72,4.30904,-0.147,3.085
73.82,4.312,-0.443,3.326
73.95,4.31585,-0.513,3.046
74.02,4.31792,-0.218,3.327
74.12,4.32089,-0.682,3.405
74.22,4.32385,-0.92,3.53
74.32,4.32681,-0.451,3.405
74.45,4.33065,-0.86,3.547
74.52,4.33273,-0.171,3.041
74.62,4.33569,-0.443,3.328
74.72,4.33865,-0.77,3.457
74.82,4.34161,-0.33,3.17
74.95,4.34546,-0.443,2.861
75.02,4.34827,-0.391,3.114
75.45,4.36551,-1.065,2.625
75.52,4.36831,-0.918,2.457
75.62,4.37232,-1.207,2.634
75.95,4.38555,-0.409,3.042
76.22,4.39393,-0.314,3.697
76.32,4.3965,-0.464,2.714
76.45,4.39984,-0.433,3.284
76.52,4.40164,-0.322,3.071
76.62,4.4042,-0.643,3.41
76.72,4.40677,-0.425,3.355
76.82,4.40934,-0.74,3.392
77.22,4.41962,-0.766,3.185
77.32,4.42574,-1.027,3.59
77.45,4.43721,-0.775,3.618
77.52,4.44345,-0.714,3.675
77.62,4.45084,-0.567,3.525
77.72,4.45721,0.02,2.962
77.82,4.46358,0.014,3.311
77.95,4.47185,-0.03,3.099
78.02,4.47631,-0.414,3.205
78.22,4.48904,-0.078,3.217
78.32,4.49451,-0.252,3.315
78.45,4.50081,-0.182,3.269
78.52,4.50421,-0.433,3.511
78.62,4.50906,-0.109,3.14
78.72,4.5139,-0.042,3.149
78.82,4.51875,-0.226,3.053
79.12,4.5333,-0.24,3.298
79.22,4.53815,-0.883,3.584
79.31,4.54252,-0.606,3.386
79.42,4.54785,-0.215,3.339
79.52,4.55287,-0.448,3.486
79.62,4.55718,-0.615,3.526
79.72,4.56104,-0.065,3.212
79.82,4.5649,-0.304,3.442
79.92,4.56875,-0.974,3.667
80.02,4.57261,-0.446,3.333
80.12,4.57647,-0.414,3.369
80.22,4.58031,-0.475,3.444
80.31,4.58379,-0.189,3.241
80.4,4.58739,-0.446,3.036
80.52,4.5924,-0.386,3.163
80.62,4.59657,-0.738,3.461
80.72,4.60074,-1.24,3.666
80.81,4.6045,-0.929,3.57
80.92,4.60909,-0.113,3.31
81.02,4.61328,-0.157,3.237
81.12,4.61758,-0.245,3.325
81.22,4.62187,-0.992,3.419
81.31,4.62574,0.113,3.285
81.42,4.63047,-0.349,3.156
81.52,4.63484,-0.439,3.22
81.62,4.63922,-0.369,3.201
81.72,4.64359,-0.815,3.597
81.9,4.65147,-0.662,3.248
82.02,4.65671,-0.16,3.06
82.12,4.66164,-0.222,3.056
82.22,4.66693,-0.224,3.088
82.31,4.67168,-0.667,3.505
82.42,4.6775,-0.269,3.183
82.52,4.68279,-0.512,3.348
82.62,4.68807,-0.199,3.162
82.72,4.69336,-0.467,3.462
82.81,4.69812,-0.25,3.295
82.92,4.70393,-0.505,3.505
83.02,4.70914,-0.58,3.428
83.12,4.71361,-0.405,3.082
83.22,4.71807,-0.218,3.137
83.31,4.72209,-0.215,3.25
83.4,4.72611,-0.466,3.431
83.52,4.73146,-0.431,3.197
83.62,4.73593,-0.599,3.687
83.72,4.74039,-0.403,3.561
83.81,4.74442,-0.545,3.276
83.92,4.74941,-0.418,3.407
84.02,4.7548,-0.237,3.264
84.12,4.76031,-0.348,3.247
84.22,4.76961,-0.566,3.326
84.31,4.77797,-0.954,3.49
84.42,4.78249,-0.888,3.476
84.52,4.7866,-0.566,3.424
84.62,4.79071,-0.339,3.498
84.72,4.79482,-0.554,3.657
84.81,4.79852,-0.021,3.259
84.91,4.80263,-0.402,3.598
85.02,4.80715,0.019,3.207
85.12,4.81125,-0.624,3.496
85.22,4.81659,-0.516,3.644
85.32,4.82318,-0.779,3.645
85.42,4.82977,-0.077,3.393
85.52,4.83597,-0.133,3.345
85.62,4.84069,-0.457,3.334
85.72,4.8454,-0.727,3.571
85.82,4.85012,-0.105,3.152
85.92,4.85483,-0.866,3.672
86.02,4.85975,-0.712,3.44
86.12,4.86486,-0.849,3.775
86.22,4.86998,-0.678,3.759
86.32,4.8751,-0.325,3.393
86.42,4.88022,-0.168,3.205
86.52,4.88534,-0.106,3.283
86.64,4.89148,-0.578,3.248
86.72,4.89557,-0.586,3.403
86.82,4.90069,-0.759,3.851
86.92,4.90581,-0.634,3.493
87.02,4.91085,-0.572,3.289
87.12,4.91505,-0.487,3.369
87.22,4.91787,-0.336,3.072
87.32,4.92069,-0.093,3.22
87.42,4.92352,-0.132,3.07
87.52,4.92633,-0.497,3.181
87.62,4.92916,-0.183,3.427
87.72,4.93197,-0.37,3.398
87.82,4.93531,-0.665,3.481
87.92,4.93865,-0.337,3.331
88.02,4.94199,-0.198,3.157
88.12,4.94533,-0.164,3.227
88.22,4.94867,-0.063,3.283
88.32,4.95201,-0.183,3.172
88.42,4.95535,-0.141,3.144
88.52,4.95868,-0.167,3.119
88.62,4.96203,-0.056,3.21
88.72,4.96537,-0.076,3.231
88.82,4.96871,0.136,3.164
88.92,4.97206,-0.285,3.159
89.02,4.97539,-0.332,3.358
89.12,4.97874,-0.352,3.218
89.22,4.98278,-0.323,3.097
89.32,4.98699,-0.229,3.126
89.42,4.99121,-0.007,3.214
89.52,4.99542,0.045,3.109
89.62,4.99971,0.041,3.24
89.72,5.00631,-0.55,3.223
89.8,5.01164,-0.372,3.331
89.92,5.01944,-0.088,3.22
90.02,5.02595,0.131,3.022
90.12,5.03245,0.041,3.053
90.22,5.03896,-0.37,3.228
90.3,5.04415,-0.145,3.051
90.42,5.05197,-0.368,3.321
90.52,5.05846,-0.318,3.379
90.62,5.06533,-0.332,3.248
90.72,5.07272,-0.324,3
90.8,5.07864,-0.06,3.074
90.92,5.08752,-0.08,2.952
91.02,5.09491,-0.062,3.159
91.12,5.104,-0.036,3.077
91.22,5.11382,-0.262,2.751
91.34,5.1256,-1.151,3.352
91.42,5.13345,-0.059,3.021
91.52,5.14327,-0.209,2.766
91.62,5.14941,-0.217,2.972
91.72,5.15397,-0.286,2.822
91.84,5.15945,-0.435,2.967
91.93,5.16356,-0.544,2.942
92.02,5.16767,-0.592,3.318
