Depth adj rmcd [armcd],Age [ka BP],Foram bent δ13C [‰ PDB],Foram bent δ18O [‰ PDB]
110.865,23427,0.78,1.49
110.905,23429,1.02,1.71
110.945,23431,1.25,1.65
110.985,23433,1.01,1.61
111.145,23444,1.24,1.78
111.185,23447,0.91,1.69
111.225,23449,1.11,1.52
111.305,23455,0.95,1.63
111.385,23461,0.8,1.57
111.425,23464,0.9,1.62
111.505,23469,0.96,1.69
111.545,23472,0.87,1.63
111.585,23475,1.04,1.7
111.625,23478,0.96,1.66
111.665,23481,0.99,1.55
111.705,23484,0.9,1.62
111.745,23487,0.9,1.65
112.225,23520,0.98,1.72
112.265,23522,1,1.72
112.305,23525,1.08,1.74
112.345,23527,1.05,1.76
112.385,23529,0.99,1.69
112.425,23531,1.12,1.75
112.465,23534,1.04,1.65
112.545,23538,1.16,1.56
112.625,23543,1.04,1.53
112.665,23545,1.23,1.78
112.705,23548,0.98,1.4
112.745,23550,1.12,1.48
112.785,23552,1.17,1.65
112.825,23555,1,1.52
112.865,23557,1.06,1.81
112.905,23559,0.56,1.37
112.945,23561,1,1.49
112.985,23564,0.92,1.67
113.025,23566,1.03,1.73
113.065,23568,0.8,1.64
113.105,23571,1.03,1.54
113.145,23573,0.81,1.66
113.185,23575,0.94,1.71
113.225,23578,1.12,1.79
113.265,23580,1.03,1.59
113.305,23582,0.99,1.65
113.325,23583,1.16,1.58
113.345,23585,1,1.54
113.385,23587,1.01,1.29
113.425,23589,0.63,1.39
113.465,23591,0.93,1.64
113.505,23594,1.07,1.57
113.545,23596,0.79,1.61
113.585,23598,0.91,1.74
113.625,23601,0.99,1.71
113.665,23603,0.92,1.8
113.705,23606,0.8,1.69
113.745,23608,0.94,1.81
113.785,23611,1.12,1.55
113.825,23613,0.87,1.65
113.905,23618,0.81,1.86
113.945,23620,0.69,1.9
113.985,23623,0.85,1.79
114.025,23625,0.71,1.78
114.065,23628,0.78,1.56
114.105,23630,0.88,1.54
114.145,23633,0.83,1.58
114.185,23635,0.98,1.51
114.225,23638,0.81,1.52
114.265,23640,0.9,1.39
114.305,23643,1.11,1.4
114.385,23648,0.75,1.55
114.465,23653,0.86,1.63
114.505,23655,0.57,1.63
114.545,23657,0.87,1.69
114.585,23660,0.85,1.72
114.625,23662,0.79,1.83
114.665,23665,0.81,1.81
114.705,23667,0.8,1.52
114.745,23670,0.97,1.36
114.825,23675,0.94,1.46
114.865,23677,0.95,1.59
114.925,23681,0.68,1.87
114.945,23682,0.56,1.51
114.985,23685,0.59,1.48
115.025,23687,0.67,1.58
115.065,23690,0.78,1.61
115.105,23692,0.71,1.83
115.145,23694,0.5,1.53
115.185,23697,0.59,1.55
115.225,23699,0.52,1.49
115.265,23702,0.7,1.56
115.345,23707,0.46,1.34
115.385,23709,0.65,1.46
115.425,23712,0.58,1.54
115.455,23714,0.83,1.6
115.615,23724,0.81,1.64
115.655,23727,0.54,1.48
115.695,23730,0.6,1.51
115.735,23732,0.79,1.52
115.775,23735,0.78,1.49
115.815,23737,0.62,1.11
115.855,23740,0.62,1.11
115.895,23743,0.58,1.24
115.935,23745,0.76,1.64
115.975,23748,0.5,1.39
116.015,23750,0.98,1.61
116.055,23753,0.59,1.45
116.095,23756,0.67,1.6
116.135,23758,0.86,1.71
116.175,23761,0.6,1.52
116.215,23763,0.62,1.46
116.255,23766,0.61,1.38
116.335,23771,0.27,1.77
116.375,23774,0.64,1.4
116.415,23776,0.69,1.48
116.455,23779,0.61,1.33
116.495,23782,0.85,1.52
116.535,23784,0.85,1.34
116.615,23789,0.77,1.47
116.895,23808,0.77,1.52
117.015,23816,0.85,1.52
117.055,23818,0.6,1.52
117.175,23827,0.87,1.42
117.215,23831,0.92,1.44
117.255,23835,0.79,1.49
117.295,23839,0.68,1.39
117.375,23847,0.81,1.51
117.415,23851,0.76,1.54
117.455,23856,0.84,1.68
117.495,23860,0.83,1.5
117.535,23864,0.76,1.68
117.615,23872,0.56,1.25
117.655,23876,0.87,1.87
117.695,23881,0.92,1.59
117.735,23885,0.85,1.52
117.775,23889,0.57,1.42
117.855,23897,0.81,1.6
117.935,23906,0.9,1.56
